exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	116	2001	2116	100.0	116	175.0	1.98e-47	blastn:w7;e1e2
1	54	65	1218	1206	92.308	13	17.7	5.2	blastn:w7;e1e2
1	19	47	1805	1770	70.27	37	17.7	5.2	blastn:w7;e1e2
1	7	41	1108	1071	70.0	40	17.0	14.0	blastn:w7;e1e2
1	53	61	874	866	100.0	9	16.2	14.0	blastn:w7;e1e2
1	67	85	1490	1508	78.947	19	16.2	14.0	blastn:w7;e1e2
1	44	62	8295	8311	80.0	20	16.2	14.0	blastn:w7;e1e2
1	24	32	11959	11951	100.0	9	16.2	14.0	blastn:w7;e1e2
1	8	23	1945	1930	81.25	16	15.5	41.0	blastn:w7;e1e2
1	6	27	2292	2314	75.0	24	15.5	41.0	blastn:w7;e1e2
1	44	54	2853	2863	90.909	11	15.5	41.0	blastn:w7;e1e2
1	43	53	10981	10971	90.909	11	15.5	41.0	blastn:w7;e1e2
1	56	63	1686	1679	100.0	8	14.7	41.0	blastn:w7;e1e2
1	86	93	1742	1735	100.0	8	14.7	41.0	blastn:w7;e1e2
1	22	29	2492	2485	100.0	8	14.7	41.0	blastn:w7;e1e2
1	53	65	2506	2518	84.615	13	14.7	41.0	blastn:w7;e1e2
1	59	66	4246	4239	100.0	8	14.7	41.0	blastn:w7;e1e2
1	66	73	5502	5509	100.0	8	14.7	41.0	blastn:w7;e1e2
1	52	59	6526	6533	100.0	8	14.7	41.0	blastn:w7;e1e2
1	74	81	6872	6879	100.0	8	14.7	41.0	blastn:w7;e1e2
1	19	26	6892	6885	100.0	8	14.7	41.0	blastn:w7;e1e2
1	105	112	7060	7053	100.0	8	14.7	41.0	blastn:w7;e1e2
1	25	32	8420	8427	100.0	8	14.7	41.0	blastn:w7;e1e2
1	73	80	8536	8543	100.0	8	14.7	41.0	blastn:w7;e1e2
1	63	70	8995	9002	100.0	8	14.7	41.0	blastn:w7;e1e2
1	54	61	9223	9216	100.0	8	14.7	41.0	blastn:w7;e1e2
1	56	63	9435	9442	100.0	8	14.7	41.0	blastn:w7;e1e2
1	37	44	9466	9459	100.0	8	14.7	41.0	blastn:w7;e1e2
1	74	81	9812	9819	100.0	8	14.7	41.0	blastn:w7;e1e2
1	50	57	10947	10940	100.0	8	14.7	41.0	blastn:w7;e1e2
1	109	116	11601	11594	100.0	8	14.7	41.0	blastn:w7;e1e2
1	51	58	11835	11842	100.0	8	14.7	41.0	blastn:w7;e1e2
2	1	145	2291	2435	100.0	145	218.0	2.77e-60	blastn:w7;e1e2
2	110	131	2421	2400	83.333	24	23.6	0.11	blastn:w7;e1e2
2	31	51	7428	7449	82.609	23	21.4	0.86	blastn:w7;e1e2
2	40	63	8178	8197	83.333	24	20.7	0.86	blastn:w7;e1e2
2	123	135	1110	1098	92.308	13	18.4	6.8	blastn:w7;e1e2
2	104	116	1893	1881	92.308	13	18.4	6.8	blastn:w7;e1e2
2	34	56	2436	2461	77.778	27	18.4	6.8	blastn:w7;e1e2
2	46	58	5035	5023	92.308	13	18.4	6.8	blastn:w7;e1e2
2	49	61	7140	7128	92.308	13	18.4	6.8	blastn:w7;e1e2
2	3	20	1353	1339	83.333	18	17.7	6.8	blastn:w7;e1e2
2	19	38	5563	5585	78.261	23	17.7	6.8	blastn:w7;e1e2
2	45	54	5787	5778	100.0	10	17.7	6.8	blastn:w7;e1e2
2	4	13	9039	9048	100.0	10	17.7	6.8	blastn:w7;e1e2
2	99	108	9195	9204	100.0	10	17.7	6.8	blastn:w7;e1e2
2	50	62	11231	11245	86.667	15	17.7	6.8	blastn:w7;e1e2
2	70	91	2338	2317	78.261	23	17.0	19.0	blastn:w7;e1e2
2	27	48	2381	2360	78.261	23	17.0	19.0	blastn:w7;e1e2
2	83	104	2740	2716	76.923	26	17.0	19.0	blastn:w7;e1e2
2	34	51	3052	3067	83.333	18	17.0	19.0	blastn:w7;e1e2
2	69	80	3268	3279	91.667	12	17.0	19.0	blastn:w7;e1e2
2	119	139	6707	6727	78.261	23	17.0	19.0	blastn:w7;e1e2
2	113	132	7436	7418	80.0	20	17.0	19.0	blastn:w7;e1e2
2	115	131	11157	11143	82.353	17	17.0	19.0	blastn:w7;e1e2
2	45	53	1427	1435	100.0	9	16.2	19.0	blastn:w7;e1e2
2	15	23	1704	1696	100.0	9	16.2	19.0	blastn:w7;e1e2
2	53	74	3024	3047	75.0	24	16.2	19.0	blastn:w7;e1e2
2	53	61	3132	3140	100.0	9	16.2	19.0	blastn:w7;e1e2
2	53	61	3135	3143	100.0	9	16.2	19.0	blastn:w7;e1e2
2	135	143	3678	3686	100.0	9	16.2	19.0	blastn:w7;e1e2
2	50	58	6078	6086	100.0	9	16.2	19.0	blastn:w7;e1e2
2	105	113	6367	6359	100.0	9	16.2	19.0	blastn:w7;e1e2
2	42	60	8886	8870	80.0	20	16.2	19.0	blastn:w7;e1e2
2	48	61	9527	9540	85.714	14	16.2	19.0	blastn:w7;e1e2
2	118	126	10004	9996	100.0	9	16.2	19.0	blastn:w7;e1e2
2	117	125	9996	10004	100.0	9	16.2	19.0	blastn:w7;e1e2
2	51	59	10821	10829	100.0	9	16.2	19.0	blastn:w7;e1e2
2	31	50	130	151	78.261	23	15.5	53.0	blastn:w7;e1e2
2	2	24	2006	2027	75.0	24	15.5	53.0	blastn:w7;e1e2
2	65	88	2136	2158	76.0	25	15.5	53.0	blastn:w7;e1e2
2	108	121	2666	2678	85.714	14	15.5	53.0	blastn:w7;e1e2
2	127	141	2753	2736	77.778	18	15.5	53.0	blastn:w7;e1e2
2	85	107	3694	3718	73.077	26	15.5	53.0	blastn:w7;e1e2
2	49	59	9298	9308	90.909	11	15.5	53.0	blastn:w7;e1e2
2	46	56	9785	9795	90.909	11	15.5	53.0	blastn:w7;e1e2
2	56	70	10987	10970	77.778	18	15.5	53.0	blastn:w7;e1e2
2	105	125	11138	11154	76.19	21	15.5	53.0	blastn:w7;e1e2
2	112	122	11628	11638	90.909	11	15.5	53.0	blastn:w7;e1e2
2	72	91	227	207	76.19	21	14.7	53.0	blastn:w7;e1e2
2	136	143	920	927	100.0	8	14.7	53.0	blastn:w7;e1e2
2	124	131	1228	1221	100.0	8	14.7	53.0	blastn:w7;e1e2
2	113	120	2329	2322	100.0	8	14.7	53.0	blastn:w7;e1e2
2	32	39	2410	2403	100.0	8	14.7	53.0	blastn:w7;e1e2
2	57	64	3107	3100	100.0	8	14.7	53.0	blastn:w7;e1e2
2	51	58	3350	3343	100.0	8	14.7	53.0	blastn:w7;e1e2
2	115	122	3995	3988	100.0	8	14.7	53.0	blastn:w7;e1e2
