method	exon_index	sstart	send	reason	detail
blastn	1	53667	53652	basic	len/pident 16/93.75
blastn	1	52139	52127	basic	len/pident 13/100.0
blastn	1	97837	97849	basic	len/pident 13/100.0
blastn	1	97837	97849	basic	len/pident 13/100.0
blastn	1	30147	30161	basic	len/pident 15/93.333
blastn	1	44414	44430	basic	len/pident 17/88.235
blastn	1	97837	97848	basic	len/pident 12/100.0
blastn	1	100713	100724	basic	len/pident 12/100.0
blastn	1	125075	125064	basic	len/pident 12/100.0
blastn	1	127982	127971	basic	len/pident 12/100.0
blastn	1	2053	2063	basic	len/pident 11/100.0
blastn	1	2216	2226	basic	len/pident 11/100.0
blastn	1	8131	8121	basic	len/pident 11/100.0
blastn	1	9439	9449	basic	len/pident 11/100.0
blastn	1	21371	21386	basic	len/pident 16/87.5
blastn	1	24103	24118	basic	len/pident 16/87.5
blastn	1	26128	26143	basic	len/pident 16/87.5
blastn	1	28291	28276	basic	len/pident 16/87.5
blastn	1	45454	45444	basic	len/pident 11/100.0
blastn	1	48845	48830	basic	len/pident 16/87.5
blastn	1	60630	60645	basic	len/pident 16/87.5
blastn	1	69700	69710	basic	len/pident 11/100.0
blastn	1	69930	69940	basic	len/pident 11/100.0
blastn	1	118729	118739	basic	len/pident 11/100.0
blastn	1	120659	120669	basic	len/pident 11/100.0
blastn	1	122848	122838	basic	len/pident 11/100.0
blastn	2	47677	47691	basic	len/pident 15/93.333
blastn	2	85398	85384	basic	len/pident 15/93.333
blastn	2	42715	42726	basic	len/pident 12/100.0
blastn	2	54851	54877	low_complexity	entropy<0.5 fraction
blastn	2	60031	60047	basic	len/pident 17/88.235
blastn	2	106314	106327	basic	len/pident 15/93.333
blastn	2	113377	113361	basic	len/pident 17/88.235
blastn	2	127398	127387	basic	len/pident 12/100.0
blastn	2	3806	3819	basic	len/pident 14/92.857
blastn	2	11794	11807	basic	len/pident 14/92.857
blastn	2	17288	17301	basic	len/pident 14/92.857
blastn	2	30839	30852	basic	len/pident 14/92.857
blastn	2	61392	61405	basic	len/pident 14/92.857
blastn	2	61539	61526	basic	len/pident 14/92.857
blastn	2	77023	77036	basic	len/pident 14/92.857
blastn	2	82098	82085	basic	len/pident 14/92.857
blastn	2	102535	102550	basic	len/pident 17/88.235
blastn	2	107023	107036	basic	len/pident 14/92.857
blastn	2	8515	8525	basic	len/pident 11/100.0
blastn	2	36687	36677	basic	len/pident 11/100.0
blastn	2	81346	81358	basic	len/pident 14/92.857
blastn	2	105733	105723	basic	len/pident 11/100.0
blastn	2	122706	122719	basic	len/pident 14/92.857
blastn	2	124291	124301	basic	len/pident 11/100.0
blastn	2	16521	16509	basic	len/pident 13/92.308
blastn	2	29355	29343	basic	len/pident 13/92.308
blastn	2	35512	35500	basic	len/pident 13/92.308
blastn	2	38528	38516	basic	len/pident 13/92.308
blastn	2	38571	38559	basic	len/pident 13/92.308
blastn	2	51975	51987	basic	len/pident 13/92.308
blastn	2	60669	60657	basic	len/pident 13/92.308
blastn	2	73950	73938	basic	len/pident 13/92.308
blastn	2	88194	88182	basic	len/pident 13/92.308
blastn	2	97044	97032	basic	len/pident 13/92.308
