exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	1452	2001	3452	100.0	1452	2160.0	0.0	blastn:w7;e1e2
1	307	385	2385	2307	70.0	80	31.1	0.033	blastn:w7;e1e2
1	952	1099	3100	2951	66.242	157	30.3	0.093	blastn:w7;e1e2
1	1250	1273	43665	43643	87.5	24	26.6	0.73	blastn:w7;e1e2
1	190	217	7565	7592	80.0	30	23.6	5.8	blastn:w7;e1e2
1	532	558	23489	23514	81.481	27	23.6	5.8	blastn:w7;e1e2
1	203	231	26410	26386	79.31	29	23.6	5.8	blastn:w7;e1e2
1	1230	1243	41116	41103	100.0	14	23.6	5.8	blastn:w7;e1e2
1	502	525	42730	42711	83.333	24	23.6	5.8	blastn:w7;e1e2
1	334	359	8652	8677	81.481	27	22.9	16.0	blastn:w7;e1e2
1	414	432	11148	11168	85.714	21	22.9	16.0	blastn:w7;e1e2
1	918	952	12571	12603	75.0	36	22.9	16.0	blastn:w7;e1e2
1	912	935	21175	21195	83.333	24	22.9	16.0	blastn:w7;e1e2
1	905	920	40539	40524	93.75	16	22.9	16.0	blastn:w7;e1e2
1	292	304	4810	4798	100.0	13	22.2	16.0	blastn:w7;e1e2
1	292	304	4801	4813	100.0	13	22.2	16.0	blastn:w7;e1e2
1	882	894	5314	5326	100.0	13	22.2	16.0	blastn:w7;e1e2
1	891	906	8237	8254	88.889	18	22.2	16.0	blastn:w7;e1e2
1	340	357	19325	19308	88.889	18	22.2	16.0	blastn:w7;e1e2
1	148	160	19846	19858	100.0	13	22.2	16.0	blastn:w7;e1e2
1	713	725	28497	28485	100.0	13	22.2	16.0	blastn:w7;e1e2
1	420	432	33832	33820	100.0	13	22.2	16.0	blastn:w7;e1e2
1	1258	1270	34839	34827	100.0	13	22.2	16.0	blastn:w7;e1e2
1	729	744	42142	42128	93.75	16	22.2	16.0	blastn:w7;e1e2
1	766	778	45370	45382	100.0	13	22.2	16.0	blastn:w7;e1e2
1	676	695	3738	3721	85.0	20	21.4	45.0	blastn:w7;e1e2
1	1326	1340	8052	8038	93.333	15	21.4	45.0	blastn:w7;e1e2
1	349	368	8742	8723	85.0	20	21.4	45.0	blastn:w7;e1e2
1	551	565	10880	10866	93.333	15	21.4	45.0	blastn:w7;e1e2
1	363	377	18254	18240	93.333	15	21.4	45.0	blastn:w7;e1e2
1	183	217	18872	18906	75.676	37	21.4	45.0	blastn:w7;e1e2
1	690	704	26515	26501	93.333	15	21.4	45.0	blastn:w7;e1e2
1	992	1006	35116	35102	93.333	15	21.4	45.0	blastn:w7;e1e2
1	1147	1166	35917	35898	85.0	20	21.4	45.0	blastn:w7;e1e2
1	1409	1425	37555	37538	88.889	18	21.4	45.0	blastn:w7;e1e2
1	462	478	764	748	88.235	17	20.7	45.0	blastn:w7;e1e2
1	625	636	5098	5109	100.0	12	20.7	45.0	blastn:w7;e1e2
1	684	700	5697	5713	88.235	17	20.7	45.0	blastn:w7;e1e2
1	792	808	14545	14561	88.235	17	20.7	45.0	blastn:w7;e1e2
1	535	549	15235	15222	93.333	15	20.7	45.0	blastn:w7;e1e2
1	581	592	17364	17375	100.0	12	20.7	45.0	blastn:w7;e1e2
1	1347	1358	17430	17441	100.0	12	20.7	45.0	blastn:w7;e1e2
1	1076	1092	21607	21591	88.235	17	20.7	45.0	blastn:w7;e1e2
1	850	861	22538	22549	100.0	12	20.7	45.0	blastn:w7;e1e2
1	884	895	24506	24517	100.0	12	20.7	45.0	blastn:w7;e1e2
1	1142	1163	27111	27090	81.818	22	20.7	45.0	blastn:w7;e1e2
1	1052	1073	31900	31921	81.818	22	20.7	45.0	blastn:w7;e1e2
1	1325	1336	32340	32351	100.0	12	20.7	45.0	blastn:w7;e1e2
1	79	95	34402	34416	88.235	17	20.7	45.0	blastn:w7;e1e2
1	615	636	37510	37489	81.818	22	20.7	45.0	blastn:w7;e1e2
1	1288	1309	39427	39448	81.818	22	20.7	45.0	blastn:w7;e1e2
1	912	923	44056	44045	100.0	12	20.7	45.0	blastn:w7;e1e2
1	533	549	44876	44860	88.235	17	20.7	45.0	blastn:w7;e1e2
1	359	375	48440	48424	88.235	17	20.7	45.0	blastn:w7;e1e2
1	350	361	49810	49821	100.0	12	20.7	45.0	blastn:w7;e1e2
2	1	125	4906	5030	100.0	125	188.0	8.51e-51	blastn:w7;e1e2
2	74	105	44064	44093	76.471	34	23.6	0.38	blastn:w7;e1e2
2	44	74	42542	42514	77.419	31	21.4	3.0	blastn:w7;e1e2
2	14	33	17263	17245	85.0	20	20.7	3.0	blastn:w7;e1e2
2	31	55	16306	16328	80.0	25	19.9	8.4	blastn:w7;e1e2
2	19	59	16595	16560	71.429	42	19.9	8.4	blastn:w7;e1e2
2	37	84	27685	27741	68.421	57	19.9	8.4	blastn:w7;e1e2
2	87	119	28845	28803	69.767	43	19.9	8.4	blastn:w7;e1e2
2	13	26	41146	41159	92.857	14	19.9	8.4	blastn:w7;e1e2
2	91	101	4393	4403	100.0	11	19.2	8.4	blastn:w7;e1e2
2	91	101	23199	23189	100.0	11	19.2	8.4	blastn:w7;e1e2
2	24	38	42885	42870	87.5	16	18.4	24.0	blastn:w7;e1e2
2	13	25	46755	46767	92.308	13	18.4	24.0	blastn:w7;e1e2
2	9	26	46790	46807	83.333	18	18.4	24.0	blastn:w7;e1e2
2	37	49	47277	47289	92.308	13	18.4	24.0	blastn:w7;e1e2
2	30	52	1852	1828	76.0	25	17.7	24.0	blastn:w7;e1e2
2	74	91	4403	4419	83.333	18	17.7	24.0	blastn:w7;e1e2
2	37	49	7724	7735	92.308	13	17.7	24.0	blastn:w7;e1e2
2	33	42	12978	12969	100.0	10	17.7	24.0	blastn:w7;e1e2
2	38	47	21470	21461	100.0	10	17.7	24.0	blastn:w7;e1e2
2	17	26	22320	22311	100.0	10	17.7	24.0	blastn:w7;e1e2
2	42	54	27599	27588	92.308	13	17.7	24.0	blastn:w7;e1e2
2	33	42	33416	33407	100.0	10	17.7	24.0	blastn:w7;e1e2
2	95	114	34583	34564	80.0	20	17.7	24.0	blastn:w7;e1e2
2	37	46	35718	35727	100.0	10	17.7	24.0	blastn:w7;e1e2
2	39	48	38287	38296	100.0	10	17.7	24.0	blastn:w7;e1e2
2	15	29	44364	44378	86.667	15	17.7	24.0	blastn:w7;e1e2
2	115	124	47092	47101	100.0	10	17.7	24.0	blastn:w7;e1e2
2	38	55	48078	48062	83.333	18	17.7	24.0	blastn:w7;e1e2
2	33	44	49435	49447	92.308	13	17.7	24.0	blastn:w7;e1e2
2	109	118	52243	52252	100.0	10	17.7	24.0	blastn:w7;e1e2
2	6	17	11671	11660	91.667	12	17.0	66.0	blastn:w7;e1e2
2	107	118	13697	13708	91.667	12	17.0	66.0	blastn:w7;e1e2
2	87	98	24472	24483	91.667	12	17.0	66.0	blastn:w7;e1e2
2	101	112	34811	34822	91.667	12	17.0	66.0	blastn:w7;e1e2
2	16	24	353	345	100.0	9	16.2	66.0	blastn:w7;e1e2
2	104	112	926	918	100.0	9	16.2	66.0	blastn:w7;e1e2
2	42	50	1474	1482	100.0	9	16.2	66.0	blastn:w7;e1e2
2	103	111	3943	3951	100.0	9	16.2	66.0	blastn:w7;e1e2
2	69	77	5826	5834	100.0	9	16.2	66.0	blastn:w7;e1e2
2	18	26	6889	6897	100.0	9	16.2	66.0	blastn:w7;e1e2
2	61	69	7361	7353	100.0	9	16.2	66.0	blastn:w7;e1e2
2	58	66	8368	8360	100.0	9	16.2	66.0	blastn:w7;e1e2
2	39	47	9035	9043	100.0	9	16.2	66.0	blastn:w7;e1e2
2	110	123	10622	10635	85.714	14	16.2	66.0	blastn:w7;e1e2
2	86	99	11150	11137	85.714	14	16.2	66.0	blastn:w7;e1e2
2	110	118	14058	14066	100.0	9	16.2	66.0	blastn:w7;e1e2
2	102	110	16792	16784	100.0	9	16.2	66.0	blastn:w7;e1e2
2	66	74	16990	16998	100.0	9	16.2	66.0	blastn:w7;e1e2
2	7	15	17276	17284	100.0	9	16.2	66.0	blastn:w7;e1e2
2	33	41	18000	18008	100.0	9	16.2	66.0	blastn:w7;e1e2
2	4	12	18250	18258	100.0	9	16.2	66.0	blastn:w7;e1e2
2	42	50	21253	21261	100.0	9	16.2	66.0	blastn:w7;e1e2
2	15	23	28845	28853	100.0	9	16.2	66.0	blastn:w7;e1e2
2	17	25	31417	31425	100.0	9	16.2	66.0	blastn:w7;e1e2
2	3	11	32894	32886	100.0	9	16.2	66.0	blastn:w7;e1e2
2	1	9	38516	38508	100.0	9	16.2	66.0	blastn:w7;e1e2
2	50	63	41866	41853	85.714	14	16.2	66.0	blastn:w7;e1e2
2	98	106	44207	44199	100.0	9	16.2	66.0	blastn:w7;e1e2
2	36	44	46251	46259	100.0	9	16.2	66.0	blastn:w7;e1e2
2	34	42	48378	48370	100.0	9	16.2	66.0	blastn:w7;e1e2
2	12	20	48551	48559	100.0	9	16.2	66.0	blastn:w7;e1e2
2	93	101	48721	48729	100.0	9	16.2	66.0	blastn:w7;e1e2
2	2	10	49334	49326	100.0	9	16.2	66.0	blastn:w7;e1e2
3	1	124	5812	5935	100.0	124	187.0	2.36e-50	blastn:w7;e1e2
3	30	89	17636	17701	70.0	70	25.9	0.14	blastn:w7;e1e2
3	59	106	26647	26693	73.077	52	24.4	0.38	blastn:w7;e1e2
3	17	39	13507	13483	84.0	25	23.6	0.38	blastn:w7;e1e2
3	79	100	30809	30829	86.364	22	23.6	0.38	blastn:w7;e1e2
3	67	99	22436	22403	77.143	35	22.9	1.1	blastn:w7;e1e2
3	9	26	2828	2812	88.889	18	21.4	3.0	blastn:w7;e1e2
3	2	15	4129	4115	93.333	15	20.7	3.0	blastn:w7;e1e2
3	10	51	22537	22574	72.093	43	20.7	3.0	blastn:w7;e1e2
3	36	65	35617	35643	76.667	30	20.7	3.0	blastn:w7;e1e2
3	80	100	6579	6600	81.818	22	19.9	8.3	blastn:w7;e1e2
3	13	28	34347	34363	88.235	17	19.9	8.3	blastn:w7;e1e2
3	79	92	50619	50632	92.857	14	19.9	8.3	blastn:w7;e1e2
3	22	62	2304	2257	70.588	51	19.2	8.3	blastn:w7;e1e2
3	89	118	7203	7228	74.194	31	19.2	8.3	blastn:w7;e1e2
3	4	17	9851	9863	92.857	14	19.2	8.3	blastn:w7;e1e2
3	39	92	13965	13901	64.286	70	19.2	8.3	blastn:w7;e1e2
3	40	62	16721	16698	79.167	24	19.2	8.3	blastn:w7;e1e2
3	34	44	30786	30776	100.0	11	19.2	8.3	blastn:w7;e1e2
3	67	90	32106	32129	76.923	26	19.2	8.3	blastn:w7;e1e2
3	29	68	38037	37998	71.429	42	19.2	8.3	blastn:w7;e1e2
3	35	74	42331	42293	70.455	44	19.2	8.3	blastn:w7;e1e2
3	72	85	52105	52120	87.5	16	19.2	8.3	blastn:w7;e1e2
3	105	117	2309	2297	92.308	13	18.4	23.0	blastn:w7;e1e2
3	37	51	5684	5669	87.5	16	18.4	23.0	blastn:w7;e1e2
3	100	115	12416	12430	87.5	16	18.4	23.0	blastn:w7;e1e2
3	82	94	14817	14829	92.308	13	18.4	23.0	blastn:w7;e1e2
3	10	26	41179	41161	84.211	19	18.4	23.0	blastn:w7;e1e2
3	98	110	52440	52428	92.308	13	18.4	23.0	blastn:w7;e1e2
3	42	51	2337	2346	100.0	10	17.7	23.0	blastn:w7;e1e2
3	56	65	5515	5506	100.0	10	17.7	23.0	blastn:w7;e1e2
3	99	108	7984	7975	100.0	10	17.7	23.0	blastn:w7;e1e2
3	109	118	8659	8650	100.0	10	17.7	23.0	blastn:w7;e1e2
3	75	84	13339	13330	100.0	10	17.7	23.0	blastn:w7;e1e2
3	87	96	20683	20674	100.0	10	17.7	23.0	blastn:w7;e1e2
3	33	45	25700	25711	92.308	13	17.7	23.0	blastn:w7;e1e2
3	26	40	30848	30862	86.667	15	17.7	23.0	blastn:w7;e1e2
3	5	14	36873	36864	100.0	10	17.7	23.0	blastn:w7;e1e2
3	87	96	37805	37796	100.0	10	17.7	23.0	blastn:w7;e1e2
3	66	85	50429	50449	78.261	23	17.7	23.0	blastn:w7;e1e2
3	59	68	52171	52162	100.0	10	17.7	23.0	blastn:w7;e1e2
3	93	110	52280	52264	83.333	18	17.7	23.0	blastn:w7;e1e2
3	95	106	6033	6044	91.667	12	17.0	65.0	blastn:w7;e1e2
3	27	38	9794	9805	91.667	12	17.0	65.0	blastn:w7;e1e2
3	78	89	12429	12440	91.667	12	17.0	65.0	blastn:w7;e1e2
3	77	93	13451	13432	80.0	20	17.0	65.0	blastn:w7;e1e2
3	98	109	16309	16298	91.667	12	17.0	65.0	blastn:w7;e1e2
3	101	112	18054	18043	91.667	12	17.0	65.0	blastn:w7;e1e2
3	8	22	18471	18484	86.667	15	17.0	65.0	blastn:w7;e1e2
3	31	42	19088	19099	91.667	12	17.0	65.0	blastn:w7;e1e2
3	89	100	20762	20751	91.667	12	17.0	65.0	blastn:w7;e1e2
3	102	113	22907	22896	91.667	12	17.0	65.0	blastn:w7;e1e2
3	72	88	23372	23356	82.353	17	17.0	65.0	blastn:w7;e1e2
3	73	84	31742	31753	91.667	12	17.0	65.0	blastn:w7;e1e2
3	14	25	37068	37079	91.667	12	17.0	65.0	blastn:w7;e1e2
3	8	22	37815	37828	86.667	15	17.0	65.0	blastn:w7;e1e2
3	53	74	38992	38971	77.273	22	17.0	65.0	blastn:w7;e1e2
