exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	101	2001	2101	100.0	101	152.0	5.88e-41	blastn:w7;e1e2
1	39	60	3168	3187	81.818	22	20.7	0.38	blastn:w7;e1e2
1	86	98	6414	6401	92.857	14	19.2	1.1	blastn:w7;e1e2
1	6	25	1668	1688	80.952	21	18.4	3.0	blastn:w7;e1e2
1	82	96	1775	1790	87.5	16	18.4	3.0	blastn:w7;e1e2
1	11	28	3354	3371	84.211	19	18.4	3.0	blastn:w7;e1e2
1	52	70	1216	1195	77.273	22	17.7	3.0	blastn:w7;e1e2
1	53	64	3750	3738	92.308	13	17.7	3.0	blastn:w7;e1e2
1	71	87	946	930	82.353	17	17.0	8.4	blastn:w7;e1e2
1	1	19	1674	1696	78.261	23	17.0	8.4	blastn:w7;e1e2
1	22	76	1240	1296	68.254	63	16.2	8.4	blastn:w7;e1e2
1	86	94	5640	5648	100.0	9	16.2	8.4	blastn:w7;e1e2
1	1	25	7122	7147	75.0	28	16.2	8.4	blastn:w7;e1e2
1	12	22	8112	8123	91.667	12	16.2	8.4	blastn:w7;e1e2
1	44	59	152	139	81.25	16	15.5	23.0	blastn:w7;e1e2
1	39	57	1287	1302	78.947	19	15.5	23.0	blastn:w7;e1e2
1	36	46	1316	1306	90.909	11	15.5	23.0	blastn:w7;e1e2
1	75	95	1980	1998	76.19	21	15.5	23.0	blastn:w7;e1e2
1	34	60	2153	2181	70.968	31	15.5	23.0	blastn:w7;e1e2
1	11	21	3585	3595	90.909	11	15.5	23.0	blastn:w7;e1e2
1	50	57	85	92	100.0	8	14.7	23.0	blastn:w7;e1e2
1	52	59	272	279	100.0	8	14.7	23.0	blastn:w7;e1e2
1	93	100	2223	2230	100.0	8	14.7	23.0	blastn:w7;e1e2
1	24	31	2233	2240	100.0	8	14.7	23.0	blastn:w7;e1e2
1	24	31	2600	2607	100.0	8	14.7	23.0	blastn:w7;e1e2
1	4	23	2906	2926	76.19	21	14.7	23.0	blastn:w7;e1e2
1	89	96	3056	3049	100.0	8	14.7	23.0	blastn:w7;e1e2
1	53	60	3240	3247	100.0	8	14.7	23.0	blastn:w7;e1e2
1	52	59	3402	3395	100.0	8	14.7	23.0	blastn:w7;e1e2
1	53	60	3406	3399	100.0	8	14.7	23.0	blastn:w7;e1e2
1	43	57	3814	3803	80.0	15	14.7	23.0	blastn:w7;e1e2
1	16	23	4791	4798	100.0	8	14.7	23.0	blastn:w7;e1e2
