method	exon_index	sstart	send	reason	detail
blastn	1	6908	6922	basic	len/pident 15/93.333
blastn	1	15016	15030	basic	len/pident 15/93.333
blastn	1	6803	6787	basic	len/pident 17/88.235
blastn	1	8037	8021	basic	len/pident 17/88.235
blastn	1	17194	17205	basic	len/pident 12/100.0
blastn	1	6165	6152	basic	len/pident 14/92.857
blastn	1	6668	6655	basic	len/pident 14/92.857
blastn	1	9651	9638	basic	len/pident 14/92.857
blastn	1	13955	13968	basic	len/pident 14/92.857
blastn	1	14232	14245	basic	len/pident 14/92.857
blastn	1	17377	17364	basic	len/pident 14/92.857
blastn	1	1012	1002	basic	len/pident 11/100.0
blastn	1	4373	4383	basic	len/pident 11/100.0
blastn	1	4886	4871	basic	len/pident 16/87.5
blastn	1	5648	5635	basic	len/pident 14/92.857
blastn	1	10514	10504	basic	len/pident 11/100.0
blastn	1	11828	11818	basic	len/pident 11/100.0
blastn	1	15494	15509	basic	len/pident 16/87.5
blastn	1	15590	15605	basic	len/pident 16/87.5
blastn	1	16547	16562	basic	len/pident 16/87.5
blastn	1	16952	16962	basic	len/pident 11/100.0
blastn	1	17182	17192	basic	len/pident 11/100.0
blastn	1	17335	17350	basic	len/pident 16/87.5
blastn	1	543	531	basic	len/pident 13/92.308
blastn	1	4121	4133	basic	len/pident 13/92.308
blastn	1	6828	6816	basic	len/pident 13/92.308
blastn	1	7310	7298	basic	len/pident 13/92.308
blastn	1	7841	7853	basic	len/pident 13/92.308
blastn	1	8289	8277	basic	len/pident 13/92.308
blastn	1	9252	9237	basic	len/pident 16/87.5
blastn	1	11468	11456	basic	len/pident 13/92.308
blastn	1	11645	11633	basic	len/pident 13/92.308
blastn	1	13847	13835	basic	len/pident 13/92.308
blastn	1	14877	14889	basic	len/pident 13/92.308
blastn	1	15460	15448	basic	len/pident 13/92.308
blastn	1	869	855	basic	len/pident 15/86.667
blastn	1	1865	1874	basic	len/pident 10/100.0
blastn	1	2070	2061	basic	len/pident 10/100.0
blastn	1	2881	2872	basic	len/pident 10/100.0
blastn	1	3276	3285	basic	len/pident 10/100.0
blastn	1	3327	3313	basic	len/pident 15/86.667
blastn	1	3889	3880	basic	len/pident 10/100.0
blastn	1	4828	4837	basic	len/pident 10/100.0
blastn	1	6223	6209	basic	len/pident 15/86.667
blastn	1	6737	6728	basic	len/pident 10/100.0
blastn	1	6752	6761	basic	len/pident 10/100.0
blastn	1	6856	6847	basic	len/pident 10/100.0
blastn	1	8678	8687	basic	len/pident 10/100.0
blastn	1	9709	9700	basic	len/pident 10/100.0
blastn	1	11343	11329	basic	len/pident 15/86.667
blastn	1	11492	11483	basic	len/pident 10/100.0
blastn	1	11645	11636	basic	len/pident 10/100.0
blastn	1	13450	13441	basic	len/pident 10/100.0
blastn	1	13565	13551	basic	len/pident 15/86.667
blastn	1	13635	13626	basic	len/pident 10/100.0
blastn	1	13730	13721	basic	len/pident 10/100.0
blastn	1	14813	14822	basic	len/pident 10/100.0
blastn	1	14944	14930	basic	len/pident 15/86.667
blastn	1	15036	15045	basic	len/pident 10/100.0
blastn	1	15663	15672	basic	len/pident 10/100.0
blastn	1	15676	15667	basic	len/pident 10/100.0
blastn	1	16366	16375	basic	len/pident 10/100.0
blastn	1	16581	16572	basic	len/pident 10/100.0
blastn	1	16816	16807	basic	len/pident 10/100.0
blastn	1	16978	16969	basic	len/pident 10/100.0
blastn	1	17176	17185	basic	len/pident 10/100.0
blastn	1	17832	17841	basic	len/pident 10/100.0
blastn	2	11461	11475	basic	len/pident 15/93.333
blastn	2	7691	7705	basic	len/pident 15/86.667
blastn	2	14428	14415	basic	len/pident 16/87.5
blastn	2	15819	15808	basic	len/pident 13/92.308
blastn	2	101	112	basic	len/pident 14/85.714
blastn	2	1860	1868	basic	len/pident 9/100.0
blastn	2	4675	4685	basic	len/pident 12/91.667
blastn	2	4908	4921	basic	len/pident 14/85.714
blastn	2	7767	7756	basic	len/pident 12/91.667
blastn	2	7858	7850	basic	len/pident 9/100.0
blastn	2	9208	9221	basic	len/pident 14/85.714
blastn	2	10269	10261	basic	len/pident 9/100.0
blastn	2	11540	11532	basic	len/pident 9/100.0
blastn	2	15052	15041	basic	len/pident 14/85.714
blastn	2	16021	16013	basic	len/pident 9/100.0
blastn	2	17096	17088	basic	len/pident 9/100.0
blastn	2	17287	17295	basic	len/pident 9/100.0
