exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	1684	2002	3684	100.0	561	1385.0	0.0	1	tblastx:e1e1
1	1684	2	3684	2002	100.0	561	1367.0	0.0	-2	tblastx:e1e1
1	3	1685	2003	3685	100.0	561	1357.0	0.0	2	tblastx:e1e1
1	1683	1	3683	2001	100.0	561	1344.0	0.0	-3	tblastx:e1e1
1	1	1683	2001	3683	100.0	561	1310.0	0.0	3	tblastx:e1e1
1	1685	3	3685	2003	100.0	561	1301.0	0.0	-1	tblastx:e1e1
1	864	826	2905	2867	61.538	13	22.1	0.001	-1	tblastx:e1e1
1	905	867	2864	2826	61.538	13	22.1	0.001	-3	tblastx:e1e1
1	739	686	2840	2787	50.0	18	21.7	0.001	-3	tblastx:e1e1
1	840	787	2739	2686	50.0	18	21.7	0.001	-2	tblastx:e1e1
1	677	624	2691	2638	38.889	18	19.9	0.001	-2	tblastx:e1e1
1	691	638	2677	2624	38.889	18	19.9	0.001	-1	tblastx:e1e1
1	1046	1138	3985	3893	25.806	31	22.1	0.002	-1	tblastx:e1e1
1	965	991	4121	4095	77.778	9	21.7	0.002	-3	tblastx:e1e1
1	861	884	4269	4246	75.0	8	18.9	0.002	-2	tblastx:e1e1
1	867	1001	2861	2995	26.667	45	21.2	0.014	2	tblastx:e1e1
1	861	995	2867	3001	26.667	45	21.2	0.014	2	tblastx:e1e1
1	1094	1174	3034	3114	33.333	27	19.4	0.014	1	tblastx:e1e1
1	1034	1114	3094	3174	33.333	27	19.4	0.014	1	tblastx:e1e1
1	725	808	2704	2787	35.714	28	18.5	0.014	1	tblastx:e1e1
1	704	787	2725	2808	35.714	28	18.5	0.014	1	tblastx:e1e1
1	1098	1024	3605	3531	40.0	25	26.3	0.052	-3	tblastx:e1e1
1	1605	1531	3098	3024	40.0	25	26.3	0.052	-3	tblastx:e1e1
1	538	437	2833	2934	35.294	34	21.7	0.075	1	tblastx:e1e1
1	833	934	2538	2437	35.294	34	21.7	0.075	-2	tblastx:e1e1
1	733	659	2672	2746	40.0	25	19.9	0.075	2	tblastx:e1e1
1	672	746	2733	2659	40.0	25	19.9	0.075	-2	tblastx:e1e1
1	1372	1325	3049	3096	50.0	16	21.2	0.17	1	tblastx:e1e1
1	1049	1096	3372	3325	50.0	16	21.2	0.17	-2	tblastx:e1e1
1	1345	1283	3157	3219	33.333	21	18.9	0.17	1	tblastx:e1e1
1	1157	1219	3345	3283	33.333	21	18.9	0.17	-2	tblastx:e1e1
1	200	147	6974	7027	50.0	18	24.4	0.19	2	tblastx:e1e1
1	1309	1247	3381	3319	38.095	21	24.4	0.19	-2	tblastx:e1e1
1	1381	1319	3309	3247	38.095	21	24.4	0.19	-2	tblastx:e1e1
