exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	164.1	1.1e-49	phmmer:f0
	-1	-1	0	43.5	8.1e-13	phmmer:f0
	-1	-1	0	24.4	1.6e-06	phmmer:f0
	-1	-1	0	66.1	4.3e-20	phmmer:f0
	-1	-1	0	14.3	0.0086	phmmer:f0
	-1	-1	0	13.9	0.012	phmmer:f0
	-1	-1	0	57.4	3.5e-17	phmmer:f0
	-1	-1	0	88.5	7.3e-27	phmmer:f0
	-1	-1	0	67.2	2.1e-20	phmmer:f0
	-1	-1	0	36.8	6.9e-11	phmmer:f0
	-1	-1	0	40.8	2.7e-12	phmmer:f0
	-1	-1	0	32.8	1e-09	phmmer:f0
	-1	-1	0	32.7	1.5e-09	phmmer:f0
	-1	-1	0	11.4	0.026	phmmer:f0
	-1	-1	0	21.8	3.5e-06	phmmer:f0
	-1	-1	0	69.9	3.1e-21	phmmer:f0
	-1	-1	0	30.5	5.9e-09	phmmer:f0
	-1	-1	0	43.4	6.3e-13	phmmer:f0
	-1	-1	0	66.4	4e-20	phmmer:f0
	-1	-1	0	12.5	0.0045	phmmer:f0
	-1	-1	0	94.4	1.1e-28	phmmer:f0
	-1	-1	0	51.3	1.6e-15	phmmer:f0
	-1	-1	0	70.7	1.9e-21	phmmer:f0
