exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	430	2001	2430	100.0	430	641.0	0.0	blastn:w7;e1e2
1	209	274	2105	2034	72.973	74	35.5	0.001	blastn:w7;e1e2
1	34	105	2274	2209	72.973	74	35.5	0.001	blastn:w7;e1e2
1	201	258	2258	2201	75.41	61	33.3	0.008	blastn:w7;e1e2
1	238	269	125107	125137	78.788	33	25.1	1.4	blastn:w7;e1e2
1	379	430	1887	1931	70.37	54	24.4	3.8	blastn:w7;e1e2
1	159	179	2179	2159	85.714	21	22.9	11.0	blastn:w7;e1e2
1	359	374	53667	53652	93.75	16	22.9	11.0	blastn:w7;e1e2
1	121	146	1299	1275	81.481	27	22.2	11.0	blastn:w7;e1e2
1	187	199	52139	52127	100.0	13	22.2	11.0	blastn:w7;e1e2
1	108	133	75697	75724	78.571	28	22.2	11.0	blastn:w7;e1e2
1	98	110	97837	97849	100.0	13	22.2	11.0	blastn:w7;e1e2
1	101	113	97837	97849	100.0	13	22.2	11.0	blastn:w7;e1e2
1	10	38	2002	1974	77.419	31	21.4	30.0	blastn:w7;e1e2
1	63	77	30147	30161	93.333	15	21.4	30.0	blastn:w7;e1e2
1	38	72	44402	44435	72.973	37	21.4	30.0	blastn:w7;e1e2
1	355	374	51195	51176	85.0	20	21.4	30.0	blastn:w7;e1e2
1	149	165	44414	44430	88.235	17	20.7	30.0	blastn:w7;e1e2
1	104	115	97837	97848	100.0	12	20.7	30.0	blastn:w7;e1e2
1	108	119	100713	100724	100.0	12	20.7	30.0	blastn:w7;e1e2
1	106	125	106060	106042	85.0	20	20.7	30.0	blastn:w7;e1e2
1	286	297	125075	125064	100.0	12	20.7	30.0	blastn:w7;e1e2
1	70	81	127982	127971	100.0	12	20.7	30.0	blastn:w7;e1e2
1	216	226	2053	2063	100.0	11	19.2	84.0	blastn:w7;e1e2
1	53	63	2216	2226	100.0	11	19.2	84.0	blastn:w7;e1e2
1	111	121	8131	8121	100.0	11	19.2	84.0	blastn:w7;e1e2
1	233	243	9439	9449	100.0	11	19.2	84.0	blastn:w7;e1e2
1	276	291	21371	21386	87.5	16	19.2	84.0	blastn:w7;e1e2
1	223	238	24103	24118	87.5	16	19.2	84.0	blastn:w7;e1e2
1	122	137	26128	26143	87.5	16	19.2	84.0	blastn:w7;e1e2
1	111	126	28291	28276	87.5	16	19.2	84.0	blastn:w7;e1e2
1	346	356	45454	45444	100.0	11	19.2	84.0	blastn:w7;e1e2
1	118	133	48845	48830	87.5	16	19.2	84.0	blastn:w7;e1e2
1	75	90	60630	60645	87.5	16	19.2	84.0	blastn:w7;e1e2
1	117	127	69700	69710	100.0	11	19.2	84.0	blastn:w7;e1e2
1	176	186	69930	69940	100.0	11	19.2	84.0	blastn:w7;e1e2
1	205	215	118729	118739	100.0	11	19.2	84.0	blastn:w7;e1e2
1	318	328	120659	120669	100.0	11	19.2	84.0	blastn:w7;e1e2
1	132	142	122848	122838	100.0	11	19.2	84.0	blastn:w7;e1e2
2	1	145	56749	56893	100.0	145	218.0	2.74e-59	blastn:w7;e1e2
2	106	127	115613	115637	84.0	25	24.4	1.1	blastn:w7;e1e2
2	52	70	23797	23780	89.474	19	22.9	3.0	blastn:w7;e1e2
2	23	57	51495	51521	74.286	35	22.9	3.0	blastn:w7;e1e2
2	76	101	37564	37542	81.481	27	22.2	3.0	blastn:w7;e1e2
2	116	133	89150	89165	88.889	18	22.2	3.0	blastn:w7;e1e2
2	32	51	115743	115763	85.714	21	22.2	3.0	blastn:w7;e1e2
2	15	29	47677	47691	93.333	15	21.4	8.5	blastn:w7;e1e2
2	77	101	50576	50552	80.0	25	21.4	8.5	blastn:w7;e1e2
2	1	40	69297	69339	72.727	44	21.4	8.5	blastn:w7;e1e2
2	79	93	85398	85384	93.333	15	21.4	8.5	blastn:w7;e1e2
2	17	28	42715	42726	100.0	12	20.7	8.5	blastn:w7;e1e2
2	67	96	54851	54877	76.667	30	20.7	8.5	blastn:w7;e1e2
