metric	value
hits:exon->CDS	8
hits:exon->exon	4
hits:exon->intron	62
copies:exon_to_intron_total	59
copies:exon_01_(2001-2164)	7
copies:exon_02_(4016-4114)	24
copies:exon_03_(6060-6097)	0
copies:exon_04_(6603-6696)	10
copies:exon_05_(8138-8778)	18
intron:total_raw_exon_to_intron_hits	59
intron:total_clustered_copies	48
intron_01_(1-2000):raw_hits	6
intron_01_(1-2000):clustered_copies	6
intron_02_(2165-4015):raw_hits	9
intron_02_(2165-4015):clustered_copies	8
intron_03_(4115-6059):raw_hits	17
intron_03_(4115-6059):clustered_copies	11
intron_04_(6098-6602):raw_hits	6
intron_04_(6098-6602):clustered_copies	5
intron_05_(6697-8137):raw_hits	7
intron_05_(6697-8137):clustered_copies	6
intron_06_(8779-10778):raw_hits	14
intron_06_(8779-10778):clustered_copies	12
