exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1930	2002	72.727	66	32.6	0.00089	blastn,tblastx	1967.5
1	2002	2314	100.0	314	469.0	9.41e-135	blastn,tblastx	2157.5
1	2306	2270	75.0	33	22.1	0.77	blastn,tblastx	2289.5
1	2405	2400	67.961	103	32.6	0.00089	blastn,tblastx	2394.25
1	2910	2909	73.494	83	39.2	1.45e-05	blastn,tblastx	2906.25
1	36285	36250	80.0	33	24.4	1.5	blastn,tblastx	36263.5
1	36306	36318	75.0	40	25.1	0.05	blastn,tblastx	36315.75
1	36992	36973	87.5	24	26.6	0.055	blastn,tblastx	36972.0
2	190	176	75.0	60	32.6	0.008	blastn,tblastx	181.5
2	1410	1390	80.769	26	22.9	1.1	blastn,tblastx	1400.0
2	7900	7901	100.0	733	1092.0	0.0	blastn,tblastx	7901.0
2	28602	28650	83.333	27	19.4	0.67	blastn,tblastx	28625.75
2	35226	35191	84.211	30	19.9	5.9	blastn,tblastx	35208.75
2	55000	55074	84.0	42	25.1	6.1	blastn,tblastx	55037.0
2	57096	57054	82.609	23	22.2	7.2	blastn,tblastx	57068.0
2	60244	60264	86.364	22	22.9	2.9	blastn,tblastx	60241.5
2	62020	61980	84.0	25	23.6	1.2	blastn,tblastx	62009.5
3	15848	15894	75.0	32	19.9	1.1	blastn,tblastx	15870.0
3	21424	21425	100.0	121	182.0	6.47e-49	blastn,tblastx	21425.0
3	25138	25160	80.0	25	20.7	2.2	blastn,tblastx	25148.5
3	26225	26242	78.261	23	17.7	4.6	blastn,tblastx	26237.5
3	66681	66738	75.758	33	23.5	1.3	blastn,tblastx	66716.5
4	36433	36542	100.0	112	169.0	6.25e-45	blastn,tblastx	36487.0
4	36564	36558	71.91	89	39.2	1.45e-05	blastn,tblastx	36569.0
5	39914	39915	100.0	119	179.0	4.96e-48	blastn,tblastx	39915.0
6	16010	16030	71.053	38	18.9	1.7	blastn,tblastx	16023.0
6	16858	16906	72.727	44	22.9	1.2	blastn,tblastx	16882.0
6	22260	22213	72.973	37	18.5	2.4	blastn,tblastx	22229.5
6	37927	37954	67.742	124	35.5	0.004	blastn,tblastx	37947.5
6	40273	40312	76.0	25	17.7	6.0	blastn,tblastx	40292.25
6	42584	42586	100.0	83	126.0	3.84e-32	blastn,tblastx	42585.0
6	50092	50052	79.31	29	22.9	0.79	blastn,tblastx	50071.5
7	27350	27386	83.333	19	17.7	9.9	blastn,tblastx	27368.0
7	44274	44274	100.0	118	178.0	1.37e-47	blastn,tblastx	44274.5
7	61269	61230	88.889	21	22.2	1.5	blastn,tblastx	61261.5
8	45750	45856	100.0	107	161.0	1.01e-42	blastn,tblastx	45803.0
9	46795	46795	100.0	81	123.0	2.9e-31	blastn,tblastx	46795.0
10	15185	15104	74.286	43	23.5	2.7	blastn,tblastx	15132.0
10	48076	48170	100.0	95	144.0	1.99e-37	blastn,tblastx	48123.0
11	49238	49309	100.0	72	109.0	2.59e-27	blastn,tblastx	49273.5
11	49870	49832	88.889	20	22.2	9.4	blastn,tblastx	49848.5
11	64713	64667	71.053	38	18.0	3.1	blastn,tblastx	64690.0
12	50998	51124	100.0	129	194.0	1.86e-52	blastn,tblastx	51061.0
13	17500	17447	69.811	53	23.5	4.0	blastn,tblastx	17485.5
13	54042	54150	100.0	110	166.0	4.78e-44	blastn,tblastx	54096.5
13	66616	66628	78.049	41	28.1	0.77	blastn,tblastx	66609.5
14	46142	46096	90.0	24	25.1	1.6	blastn,tblastx	46128.5
14	61050	61308	100.0	259	387.0	3.04e-110	blastn,tblastx	61179.0
15	43528	43582	71.93	57	26.6	2.2	blastn,tblastx	43556.0
15	65800	65802	100.0	3244	4823.0	0.0	blastn,tblastx	65801.5
15	66356	66416	83.333	48	28.6	0.12	blastn,tblastx	66379.5
