method	exon_index	sstart	send	reason	detail
blastn	1	5577	5592	basic	len/pident 16/87.5
blastn	1	20	32	basic	len/pident 13/92.308
blastn	1	6010	5996	basic	len/pident 16/87.5
blastn	1	1530	1539	basic	len/pident 10/100.0
blastn	1	3891	3882	basic	len/pident 10/100.0
blastn	1	3883	3897	basic	len/pident 15/86.667
blastn	1	5369	5354	basic	len/pident 16/87.5
blastn	1	6057	6041	basic	len/pident 17/82.353
blastn	1	6572	6581	basic	len/pident 10/100.0
blastn	1	7473	7461	basic	len/pident 13/92.308
blastn	1	9376	9385	basic	len/pident 10/100.0
blastn	1	6779	6793	basic	len/pident 15/86.667
blastn	1	1359	1370	basic	len/pident 12/91.667
blastn	1	1440	1432	basic	len/pident 9/100.0
blastn	1	1655	1647	basic	len/pident 9/100.0
blastn	1	2569	2556	basic	len/pident 17/82.353
blastn	1	2819	2811	basic	len/pident 9/100.0
blastn	1	3708	3700	basic	len/pident 9/100.0
blastn	1	3869	3856	basic	len/pident 14/85.714
blastn	1	4103	4095	basic	len/pident 9/100.0
blastn	1	4170	4183	basic	len/pident 14/85.714
blastn	1	4266	4258	basic	len/pident 9/100.0
blastn	1	4273	4265	basic	len/pident 9/100.0
blastn	1	7528	7538	basic	len/pident 12/91.667
blastn	1	7624	7632	basic	len/pident 9/100.0
blastn	1	7782	7790	basic	len/pident 9/100.0
blastn	1	8534	8524	basic	len/pident 12/91.667
blastn	1	1916	1926	basic	len/pident 11/90.909
blastn	1	3364	3354	basic	len/pident 11/90.909
blastn	1	3847	3835	basic	len/pident 14/85.714
blastn	1	4264	4251	basic	len/pident 14/85.714
blastn	1	5737	5747	basic	len/pident 11/90.909
blastn	1	6473	6483	basic	len/pident 11/90.909
blastn	1	6559	6572	basic	len/pident 14/85.714
blastn	1	7953	7943	basic	len/pident 11/90.909
blastn	1	8151	8141	basic	len/pident 11/90.909
blastn	1	362	355	basic	len/pident 8/100.0
blastn	1	1013	1001	basic	len/pident 13/84.615
blastn	1	2019	2012	basic	len/pident 8/100.0
blastn	1	2074	2067	basic	len/pident 8/100.0
blastn	1	2154	2166	basic	len/pident 13/84.615
blastn	1	2675	2663	basic	len/pident 13/84.615
blastn	1	2670	2663	basic	len/pident 8/100.0
blastn	1	2677	2684	basic	len/pident 8/100.0
blastn	1	3018	3025	basic	len/pident 8/100.0
blastn	1	3206	3218	basic	len/pident 13/84.615
blastn	1	3925	3918	basic	len/pident 8/100.0
blastn	1	4044	4035	basic	len/pident 11/90.909
blastn	1	4123	4130	basic	len/pident 8/100.0
blastn	1	4168	4175	basic	len/pident 8/100.0
blastn	1	4584	4577	basic	len/pident 8/100.0
blastn	1	4917	4910	basic	len/pident 8/100.0
blastn	1	4947	4956	basic	len/pident 11/90.909
blastn	1	5630	5623	basic	len/pident 8/100.0
blastn	1	5882	5875	basic	len/pident 8/100.0
blastn	1	6626	6633	basic	len/pident 8/100.0
blastn	1	7014	7021	basic	len/pident 8/100.0
blastn	1	7327	7334	basic	len/pident 8/100.0
blastn	1	7553	7560	basic	len/pident 8/100.0
blastn	1	7996	7982	basic	len/pident 16/81.25
blastn	1	8052	8045	basic	len/pident 8/100.0
blastn	1	8097	8104	basic	len/pident 8/100.0
blastn	1	8361	8368	basic	len/pident 8/100.0
blastn	1	8363	8370	basic	len/pident 8/100.0
blastn	1	8364	8374	basic	len/pident 13/84.615
blastn	1	8669	8662	basic	len/pident 8/100.0
blastn	1	71	59	basic	len/pident 13/84.615
blastn	1	280	271	basic	len/pident 10/90.0
blastn	1	1724	1733	basic	len/pident 10/90.0
blastn	1	2332	2318	basic	len/pident 15/80.0
blastn	1	3329	3320	basic	len/pident 10/90.0
blastn	1	3388	3397	basic	len/pident 10/90.0
blastn	1	3588	3579	basic	len/pident 10/90.0
blastn	1	4318	4305	basic	len/pident 16/81.25
blastn	1	6511	6502	basic	len/pident 10/90.0
blastn	1	7471	7462	basic	len/pident 10/90.0
blastn	1	8159	8146	basic	len/pident 16/81.25
blastn	1	8551	8560	basic	len/pident 10/90.0
blastn	1	220	226	basic	len/pident 7/100.0
blastn	1	337	331	basic	len/pident 7/100.0
blastn	1	367	361	basic	len/pident 7/100.0
blastn	1	596	602	basic	len/pident 7/100.0
blastn	1	603	609	basic	len/pident 7/100.0
blastn	1	774	768	basic	len/pident 7/100.0
blastn	1	800	794	basic	len/pident 7/100.0
blastn	1	871	865	basic	len/pident 7/100.0
blastn	1	867	873	basic	len/pident 7/100.0
blastn	1	906	900	basic	len/pident 7/100.0
blastn	1	999	1005	basic	len/pident 7/100.0
blastn	1	1040	1034	basic	len/pident 7/100.0
blastn	1	1104	1098	basic	len/pident 7/100.0
blastn	1	1106	1100	basic	len/pident 7/100.0
blastn	1	1214	1208	basic	len/pident 7/100.0
blastn	1	1396	1402	basic	len/pident 7/100.0
blastn	1	1403	1397	basic	len/pident 7/100.0
blastn	1	1484	1490	basic	len/pident 7/100.0
blastn	1	1488	1494	basic	len/pident 7/100.0
blastn	1	1553	1559	basic	len/pident 7/100.0
blastn	1	1589	1583	basic	len/pident 7/100.0
blastn	1	1623	1617	basic	len/pident 7/100.0
blastn	1	1621	1627	basic	len/pident 7/100.0
blastn	1	1670	1676	basic	len/pident 7/100.0
blastn	1	1814	1820	basic	len/pident 7/100.0
blastn	1	1916	1922	basic	len/pident 7/100.0
blastn	1	2022	2016	basic	len/pident 7/100.0
blastn	1	2092	2086	basic	len/pident 7/100.0
blastn	1	2330	2336	basic	len/pident 7/100.0
blastn	1	2546	2552	basic	len/pident 7/100.0
blastn	1	2554	2560	basic	len/pident 7/100.0
blastn	1	2606	2600	basic	len/pident 7/100.0
blastn	1	2786	2780	basic	len/pident 7/100.0
blastn	1	2926	2920	basic	len/pident 7/100.0
blastn	1	2979	2985	basic	len/pident 7/100.0
blastn	1	3001	2995	basic	len/pident 7/100.0
blastn	1	3168	3174	basic	len/pident 7/100.0
blastn	1	3171	3177	basic	len/pident 7/100.0
blastn	1	3209	3215	basic	len/pident 7/100.0
blastn	1	3246	3240	basic	len/pident 7/100.0
blastn	1	3374	3380	basic	len/pident 7/100.0
blastn	1	3388	3394	basic	len/pident 7/100.0
blastn	1	3456	3450	basic	len/pident 7/100.0
blastn	1	3534	3528	basic	len/pident 7/100.0
blastn	1	3590	3584	basic	len/pident 7/100.0
blastn	1	3705	3699	basic	len/pident 7/100.0
blastn	1	3814	3820	basic	len/pident 7/100.0
blastn	1	3991	3997	basic	len/pident 7/100.0
blastn	1	4122	4128	basic	len/pident 7/100.0
blastn	1	4124	4130	basic	len/pident 7/100.0
blastn	1	4167	4173	basic	len/pident 7/100.0
blastn	1	4169	4175	basic	len/pident 7/100.0
blastn	1	4222	4228	basic	len/pident 7/100.0
blastn	1	4224	4230	basic	len/pident 7/100.0
blastn	1	4391	4397	basic	len/pident 7/100.0
blastn	1	4488	4482	basic	len/pident 7/100.0
blastn	1	4489	4483	basic	len/pident 7/100.0
blastn	1	4643	4637	basic	len/pident 7/100.0
blastn	1	4787	4781	basic	len/pident 7/100.0
blastn	1	4950	4944	basic	len/pident 7/100.0
blastn	1	5040	5034	basic	len/pident 7/100.0
blastn	1	5083	5077	basic	len/pident 7/100.0
blastn	1	5144	5138	basic	len/pident 7/100.0
blastn	1	5275	5281	basic	len/pident 7/100.0
blastn	1	5408	5402	basic	len/pident 7/100.0
blastn	1	5422	5416	basic	len/pident 7/100.0
blastn	1	5467	5461	basic	len/pident 7/100.0
blastn	1	5657	5663	basic	len/pident 7/100.0
blastn	1	5666	5660	basic	len/pident 7/100.0
blastn	1	5720	5714	basic	len/pident 7/100.0
blastn	1	5733	5727	basic	len/pident 7/100.0
blastn	1	5765	5759	basic	len/pident 7/100.0
blastn	1	5780	5774	basic	len/pident 7/100.0
blastn	1	5853	5847	basic	len/pident 7/100.0
blastn	1	6140	6134	basic	len/pident 7/100.0
blastn	1	6313	6307	basic	len/pident 7/100.0
blastn	1	6412	6418	basic	len/pident 7/100.0
blastn	1	6420	6414	basic	len/pident 7/100.0
blastn	1	6502	6508	basic	len/pident 7/100.0
blastn	1	6502	6508	basic	len/pident 7/100.0
blastn	1	6798	6804	basic	len/pident 7/100.0
blastn	1	6859	6853	basic	len/pident 7/100.0
blastn	1	6860	6866	basic	len/pident 7/100.0
blastn	1	6867	6861	basic	len/pident 7/100.0
blastn	1	6946	6940	basic	len/pident 7/100.0
blastn	1	7249	7255	basic	len/pident 7/100.0
blastn	1	7265	7271	basic	len/pident 7/100.0
blastn	1	7310	7304	basic	len/pident 7/100.0
blastn	1	7320	7326	basic	len/pident 7/100.0
blastn	1	7425	7419	basic	len/pident 7/100.0
blastn	1	7711	7705	basic	len/pident 7/100.0
blastn	1	7733	7739	basic	len/pident 7/100.0
blastn	1	7801	7795	basic	len/pident 7/100.0
blastn	1	7914	7920	basic	len/pident 7/100.0
blastn	1	7946	7952	basic	len/pident 7/100.0
blastn	1	7955	7949	basic	len/pident 7/100.0
blastn	1	8114	8108	basic	len/pident 7/100.0
blastn	1	8221	8227	basic	len/pident 7/100.0
blastn	1	8325	8319	basic	len/pident 7/100.0
blastn	1	8368	8374	basic	len/pident 7/100.0
blastn	1	8413	8407	basic	len/pident 7/100.0
blastn	1	8437	8443	basic	len/pident 7/100.0
blastn	1	8492	8498	basic	len/pident 7/100.0
blastn	1	8733	8727	basic	len/pident 7/100.0
blastn	1	8962	8968	basic	len/pident 7/100.0
blastn	1	8988	8982	basic	len/pident 7/100.0
blastn	1	9090	9084	basic	len/pident 7/100.0
blastn	1	9100	9094	basic	len/pident 7/100.0
blastn	1	9094	9100	basic	len/pident 7/100.0
blastn	1	9100	9094	basic	len/pident 7/100.0
blastn	1	9127	9121	basic	len/pident 7/100.0
blastn	1	9254	9260	basic	len/pident 7/100.0
blastn	1	9508	9514	basic	len/pident 7/100.0
blastn	1	9509	9515	basic	len/pident 7/100.0
blastn	2	1838	1822	basic	len/pident 17/88.235
blastn	2	37	50	basic	len/pident 14/92.857
blastn	2	5036	5052	basic	len/pident 17/88.235
blastn	2	9659	9646	basic	len/pident 14/92.857
blastn	2	1654	1644	basic	len/pident 11/100.0
blastn	2	2417	2404	basic	len/pident 14/92.857
blastn	2	2807	2792	basic	len/pident 16/87.5
blastn	2	4136	4124	basic	len/pident 14/92.857
blastn	2	55	43	basic	len/pident 13/92.308
blastn	2	1443	1457	basic	len/pident 16/87.5
blastn	2	5473	5487	basic	len/pident 16/87.5
blastn	2	6563	6575	basic	len/pident 13/92.308
blastn	2	274	283	basic	len/pident 10/100.0
blastn	2	777	786	basic	len/pident 10/100.0
blastn	2	2239	2230	basic	len/pident 10/100.0
blastn	2	3396	3384	basic	len/pident 13/92.308
blastn	2	3584	3596	basic	len/pident 15/86.667
blastn	2	3816	3825	basic	len/pident 10/100.0
blastn	2	5549	5558	basic	len/pident 10/100.0
blastn	2	6003	6012	basic	len/pident 10/100.0
blastn	2	2348	2359	basic	len/pident 12/91.667
blastn	2	4036	4047	basic	len/pident 12/91.667
blastn	2	4588	4577	basic	len/pident 12/91.667
blastn	2	6046	6057	basic	len/pident 12/91.667
blastn	2	8554	8543	basic	len/pident 12/91.667
blastn	2	958	945	basic	len/pident 14/85.714
blastn	2	1432	1440	basic	len/pident 9/100.0
blastn	2	1444	1452	basic	len/pident 9/100.0
blastn	2	2072	2064	basic	len/pident 9/100.0
blastn	2	2546	2559	basic	len/pident 14/85.714
blastn	2	3360	3368	basic	len/pident 9/100.0
blastn	2	4060	4071	basic	len/pident 14/85.714
blastn	2	4218	4205	basic	len/pident 14/85.714
blastn	2	4351	4338	basic	len/pident 14/85.714
blastn	2	4441	4425	basic	len/pident 17/82.353
blastn	2	4605	4597	basic	len/pident 9/100.0
blastn	2	4934	4945	basic	len/pident 12/91.667
blastn	2	5034	5046	basic	len/pident 16/81.25
blastn	2	5254	5262	basic	len/pident 9/100.0
blastn	2	5463	5455	basic	len/pident 9/100.0
blastn	2	6148	6156	basic	len/pident 9/100.0
blastn	2	8657	8665	basic	len/pident 9/100.0
blastn	2	9006	9014	basic	len/pident 9/100.0
blastn	2	1256	1266	basic	len/pident 11/90.909
blastn	2	3893	3903	basic	len/pident 11/90.909
blastn	2	3978	3991	basic	len/pident 16/81.25
blastn	2	7462	7472	basic	len/pident 11/90.909
blastn	2	9467	9457	basic	len/pident 11/90.909
blastn	2	170	163	basic	len/pident 8/100.0
blastn	2	194	201	basic	len/pident 8/100.0
blastn	2	510	503	basic	len/pident 8/100.0
blastn	2	783	790	basic	len/pident 8/100.0
blastn	2	843	836	basic	len/pident 8/100.0
blastn	2	1045	1052	basic	len/pident 8/100.0
blastn	2	1062	1069	basic	len/pident 8/100.0
blastn	2	1097	1090	basic	len/pident 8/100.0
blastn	2	1098	1105	basic	len/pident 8/100.0
blastn	2	1221	1228	basic	len/pident 8/100.0
blastn	2	1874	1867	basic	len/pident 8/100.0
blastn	2	1917	1929	basic	len/pident 13/84.615
blastn	2	2021	2009	basic	len/pident 13/84.615
blastn	2	2046	2039	basic	len/pident 8/100.0
blastn	2	2073	2080	basic	len/pident 8/100.0
blastn	2	2249	2256	basic	len/pident 8/100.0
blastn	2	2647	2640	basic	len/pident 8/100.0
blastn	2	2815	2808	basic	len/pident 8/100.0
blastn	2	2909	2902	basic	len/pident 8/100.0
blastn	2	2924	2931	basic	len/pident 8/100.0
blastn	2	3053	3046	basic	len/pident 8/100.0
