exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	108	2001	2108	100.0	108	exon	exon
1	32	93	2359	2421	72.059	68	exon	intron
1	9	66	2267	2214	71.667	60	exon	intron
1	23	106	1932	2012	67.033	91	exon	exon
1	48	94	1426	1379	69.231	52	exon	intron
1	75	96	2237	2217	81.818	22	exon	intron
1	24	45	2276	2296	81.818	22	exon	intron
1	71	97	1544	1520	75.0	28	exon	intron
1	91	108	30014	30031	83.333	18	exon	exon
1	3	29	1509	1477	69.697	33	exon	intron
1	87	108	1652	1675	75.0	24	exon	intron
1	78	96	1913	1895	78.947	19	exon	intron
1	69	89	2237	2219	76.19	21	exon	intron
2	1	193	2469	2661	100.0	193	exon	CDS
2	164	181	26868	26850	89.474	19	exon	intron
2	164	183	24832	24813	85.0	20	exon	intron
2	139	160	1623	1602	82.609	23	exon	intron
2	111	157	2260	2218	70.213	47	exon	intron
2	157	182	20089	20060	76.667	30	exon	intron
2	66	86	1372	1392	81.818	22	exon	intron
2	19	36	9546	9528	84.211	19	exon	intron
2	13	30	9778	9760	84.211	19	exon	intron
2	12	29	11109	11125	83.333	18	exon	intron
3	1	156	5043	5198	100.0	156	exon	CDS
3	52	75	23751	23777	85.185	27	exon	CDS
3	94	115	28991	28970	86.957	23	exon	intron
3	29	66	9157	9124	75.0	40	exon	intron
3	105	133	9681	9706	79.31	29	exon	intron
3	95	114	24940	24959	85.0	20	exon	intron
3	13	43	16020	15995	77.419	31	exon	intron
3	100	116	30182	30198	88.889	18	exon	exon
3	30	53	6670	6647	79.167	24	exon	intron
3	112	130	14346	14364	84.211	19	exon	CDS
3	37	60	17998	18021	80.0	25	exon	intron
3	135	153	27528	27510	84.211	19	exon	intron
3	1	21	25544	25563	80.952	21	exon	CDS
3	15	37	26148	26170	79.167	24	exon	intron
3	7	26	27267	27287	80.952	21	exon	intron
3	50	77	7154	7131	72.414	29	exon	intron
3	86	108	5830	5810	78.261	23	exon	intron
3	83	107	13232	13206	75.0	28	exon	intron
3	76	96	26194	26215	77.273	22	exon	intron
3	34	66	28979	28945	71.429	35	exon	intron
4	1	111	7151	7261	100.0	111	exon	CDS
4	61	88	14643	14673	80.645	31	exon	intron
4	73	97	26901	26923	84.0	25	exon	intron
4	2	34	4094	4126	76.471	34	exon	intron
4	44	82	26911	26957	70.833	48	exon	intron
4	32	49	7764	7748	88.889	18	exon	intron
4	77	96	18206	18184	82.609	23	exon	intron
4	64	85	29898	29876	82.609	23	exon	intron
4	81	110	15289	15263	77.419	31	exon	intron
4	65	86	18175	18154	81.818	22	exon	intron
4	77	100	24654	24678	77.778	27	exon	intron
4	15	36	3254	3232	79.167	24	exon	intron
4	65	84	26815	26794	81.818	22	exon	intron
