exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	115	2002	2115	100.0	38	96.8	9.81e-25	1	tblastx:e1e1
1	115	2	2115	2002	100.0	38	94.0	7.14e-24	-3	tblastx:e1e1
1	1	114	2001	2114	100.0	38	93.6	9.06e-24	3	tblastx:e1e1
1	3	113	2003	2113	100.0	37	90.2	1e-22	2	tblastx:e1e1
1	114	1	2114	2001	100.0	38	90.0	1.21e-22	-1	tblastx:e1e1
1	113	3	2113	2003	100.0	37	86.5	1.34e-21	-2	tblastx:e1e1
1	115	2	1955	2068	42.105	38	31.1	6.54e-05	2	tblastx:e1e1
1	6	86	1908	1828	37.037	27	20.7	0.087	-3	tblastx:e1e1
1	89	115	1879	1853	88.889	9	20.3	0.16	-2	tblastx:e1e1
1	3	71	2196	2128	43.478	23	17.9	0.16	-3	tblastx:e1e1
1	101	78	2489	2466	75.0	8	18.3	0.16	-1	tblastx:e1e1
1	76	53	2436	2413	75.0	8	17.0	0.16	-3	tblastx:e1e1
1	92	6	10985	10899	34.483	29	19.7	0.17	-1	tblastx:e1e1
1	82	108	1633	1659	66.667	9	19.4	0.2	1	tblastx:e1e1
1	91	2	2492	2403	36.667	30	18.8	0.32	-1	tblastx:e1e1
1	49	5	2360	2404	40.0	15	18.4	0.43	2	tblastx:e1e1
1	2	28	1923	1949	77.778	9	18.0	0.52	3	tblastx:e1e1
1	81	107	2162	2136	77.778	9	17.0	0.55	-1	tblastx:e1e1
1	24	77	2211	2158	38.889	18	16.1	0.55	-3	tblastx:e1e1
1	1	102	1657	1758	32.353	34	17.6	0.72	1	tblastx:e1e1
1	90	58	4347	4315	54.545	11	17.6	0.75	-3	tblastx:e1e1
1	38	76	5046	5008	53.846	13	17.1	1.0	-3	tblastx:e1e1
1	27	1	1948	1922	77.778	9	17.1	1.0	-2	tblastx:e1e1
1	76	23	2159	2212	38.889	18	17.0	1.1	2	tblastx:e1e1
1	106	53	1895	1948	44.444	18	15.7	2.8	2	tblastx:e1e1
1	70	2	2129	2197	39.13	23	15.7	2.8	2	tblastx:e1e1
1	115	53	2794	2732	38.095	21	15.7	2.8	-2	tblastx:e1e1
1	96	113	10959	10976	83.333	6	15.2	3.7	3	tblastx:e1e1
1	68	97	2577	2606	60.0	10	14.8	4.8	3	tblastx:e1e1
1	74	100	1940	1914	55.556	9	14.8	5.1	-1	tblastx:e1e1
1	51	107	1950	1894	42.105	19	14.7	5.4	-3	tblastx:e1e1
1	91	108	4360	4377	66.667	6	14.4	6.6	1	tblastx:e1e1
1	86	57	1504	1533	50.0	10	14.3	7.2	1	tblastx:e1e1
1	82	114	2161	2129	45.455	11	13.9	9.6	-2	tblastx:e1e1
1	6	38	909	941	36.364	11	13.8	9.6	3	tblastx:e1e1
2	3	131	3166	3294	100.0	43	113.0	1.36e-29	1	tblastx:e1e1
2	131	3	3294	3166	100.0	43	107.0	6.13e-28	-3	tblastx:e1e1
2	2	130	3165	3293	100.0	43	102.0	2.77e-26	3	tblastx:e1e1
2	129	1	3292	3164	100.0	43	101.0	5.23e-26	-2	tblastx:e1e1
2	130	2	3293	3165	100.0	43	100.0	1.36e-25	-1	tblastx:e1e1
2	1	129	3164	3292	100.0	43	97.3	9.12e-25	2	tblastx:e1e1
