method	exon_index	sstart	send	reason	detail
blastn	1	2028	2003	low_complexity	entropy<0.5 fraction
blastn	1	22259	22273	basic	len/pident 15/100.0
blastn	1	10722	10738	basic	len/pident 17/94.118
blastn	1	10722	10738	basic	len/pident 17/94.118
blastn	1	1995	2021	low_complexity	entropy<0.5 fraction
blastn	1	5453	5466	basic	len/pident 14/100.0
blastn	1	22259	22272	basic	len/pident 14/100.0
blastn	1	2648	2663	basic	len/pident 16/93.75
blastn	1	5453	5468	basic	len/pident 16/93.75
blastn	1	1650	1662	basic	len/pident 13/100.0
blastn	1	19027	19015	basic	len/pident 13/100.0
blastn	1	22272	22258	basic	len/pident 16/93.75
blastn	1	5441	5427	basic	len/pident 15/93.333
blastn	1	22273	22259	basic	len/pident 15/93.333
blastn	1	2022	2001	low_complexity	entropy<0.5 fraction
blastn	1	4135	4119	basic	len/pident 17/88.235
blastn	1	5453	5464	basic	len/pident 12/100.0
blastn	1	5453	5464	basic	len/pident 12/100.0
blastn	1	5660	5649	basic	len/pident 12/100.0
blastn	1	9810	9826	basic	len/pident 17/88.235
blastn	1	10107	10093	basic	len/pident 15/93.333
blastn	1	15382	15398	basic	len/pident 17/88.235
blastn	1	16983	16972	basic	len/pident 12/100.0
blastn	1	18077	18066	basic	len/pident 12/100.0
blastn	1	20296	20312	basic	len/pident 17/88.235
blastn	1	22259	22272	basic	len/pident 15/93.333
blastn	1	22259	22272	basic	len/pident 15/93.333
blastn	1	22259	22272	basic	len/pident 15/93.333
blastn	1	24339	24355	basic	len/pident 17/88.235
blastn	1	2007	2025	low_complexity	entropy<0.5 fraction
blastn	1	2121	2136	basic	len/pident 17/88.235
blastn	1	2354	2370	basic	len/pident 17/88.235
blastn	1	9255	9268	basic	len/pident 14/92.857
blastn	1	9841	9854	basic	len/pident 14/92.857
blastn	1	9858	9845	basic	len/pident 14/92.857
blastn	1	9881	9865	basic	len/pident 17/88.235
blastn	1	10024	10011	basic	len/pident 14/92.857
blastn	1	11092	11105	basic	len/pident 14/92.857
blastn	1	15236	15249	basic	len/pident 14/92.857
blastn	1	23843	23856	basic	len/pident 14/92.857
blastn	1	1573	1583	basic	len/pident 11/100.0
blastn	1	2442	2427	basic	len/pident 16/87.5
blastn	1	2663	2648	basic	len/pident 16/87.5
blastn	1	6367	6377	basic	len/pident 11/100.0
blastn	1	7159	7174	basic	len/pident 16/87.5
blastn	1	8376	8386	basic	len/pident 11/100.0
blastn	1	8756	8746	basic	len/pident 11/100.0
blastn	1	9280	9290	basic	len/pident 11/100.0
blastn	1	9845	9855	basic	len/pident 11/100.0
blastn	1	10108	10098	basic	len/pident 11/100.0
blastn	1	10722	10737	basic	len/pident 16/87.5
blastn	1	12063	12048	basic	len/pident 16/87.5
blastn	1	14626	14616	basic	len/pident 11/100.0
blastn	1	15255	15245	basic	len/pident 11/100.0
blastn	1	17545	17555	basic	len/pident 11/100.0
blastn	1	17938	17928	basic	len/pident 11/100.0
blastn	1	18833	18843	basic	len/pident 11/100.0
blastn	1	19394	19404	basic	len/pident 11/100.0
blastn	1	23632	23622	basic	len/pident 11/100.0
blastn	1	28281	28291	basic	len/pident 11/100.0
blastn	1	28378	28393	basic	len/pident 16/87.5
blastn	2	9553	9537	basic	len/pident 17/94.118
blastn	2	4901	4887	basic	len/pident 15/93.333
blastn	2	5041	5027	basic	len/pident 15/93.333
blastn	2	15135	15121	basic	len/pident 15/93.333
blastn	2	25791	25805	basic	len/pident 15/93.333
blastn	2	790	801	basic	len/pident 12/100.0
blastn	2	2022	2008	basic	len/pident 17/88.235
blastn	2	3063	3049	basic	len/pident 15/93.333
blastn	2	21906	21922	basic	len/pident 17/88.235
blastn	2	23861	23845	basic	len/pident 17/88.235
blastn	2	24898	24884	basic	len/pident 15/93.333
blastn	2	224	237	basic	len/pident 14/92.857
blastn	2	9574	9589	basic	len/pident 17/88.235
blastn	2	11935	11948	basic	len/pident 14/92.857
blastn	2	17154	17141	basic	len/pident 14/92.857
blastn	2	25975	25962	basic	len/pident 14/92.857
blastn	2	27562	27547	basic	len/pident 17/88.235
blastn	2	679	664	basic	len/pident 16/87.5
blastn	2	2964	2974	basic	len/pident 11/100.0
blastn	2	6214	6224	basic	len/pident 11/100.0
blastn	2	6837	6847	basic	len/pident 11/100.0
blastn	2	6907	6917	basic	len/pident 11/100.0
blastn	2	7652	7637	basic	len/pident 16/87.5
blastn	2	10042	10032	basic	len/pident 11/100.0
blastn	2	11963	11973	basic	len/pident 11/100.0
blastn	2	12270	12285	basic	len/pident 16/87.5
blastn	2	12947	12957	basic	len/pident 11/100.0
blastn	2	15421	15436	basic	len/pident 16/87.5
blastn	2	15737	15752	basic	len/pident 16/87.5
blastn	2	15972	15987	basic	len/pident 16/87.5
blastn	2	19604	19614	basic	len/pident 11/100.0
blastn	2	19694	19709	basic	len/pident 16/87.5
blastn	2	21433	21423	basic	len/pident 11/100.0
blastn	2	23648	23658	basic	len/pident 11/100.0
blastn	2	24051	24066	basic	len/pident 16/87.5
blastn	2	25951	25941	basic	len/pident 11/100.0
blastn	2	27834	27824	basic	len/pident 11/100.0
blastn	2	28063	28073	basic	len/pident 11/100.0
