exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	576	2001	2576	100.0	192	458.0	5.19e-132	3	tblastx:e1e1
1	577	2	2577	2002	100.0	192	455.0	3.49e-131	-3	tblastx:e1e1
1	578	3	2578	2003	100.0	192	452.0	3.22e-130	-2	tblastx:e1e1
1	2	577	2002	2577	100.0	192	446.0	2e-128	1	tblastx:e1e1
1	3	578	2003	2578	100.0	192	435.0	2.98e-125	2	tblastx:e1e1
1	576	1	2576	2001	100.0	192	434.0	5.62e-125	-1	tblastx:e1e1
1	41	148	33462	33355	36.111	36	35.0	0.000147	-3	tblastx:e1e1
1	137	169	41220	41252	72.727	11	24.0	0.3	3	tblastx:e1e1
1	170	84	8489	8575	31.034	29	23.1	0.57	2	tblastx:e1e1
1	127	80	33376	33423	56.25	16	23.1	0.57	1	tblastx:e1e1
1	475	428	8437	8390	50.0	16	22.6	0.78	-2	tblastx:e1e1
1	54	149	33449	33354	37.5	32	22.1	1.1	-1	tblastx:e1e1
1	134	81	22972	22919	33.333	18	22.1	1.1	-2	tblastx:e1e1
1	238	191	36996	36949	50.0	16	21.7	1.5	-3	tblastx:e1e1
1	131	151	36010	35990	85.714	7	21.7	1.5	-2	tblastx:e1e1
1	356	409	10588	10535	55.556	18	21.7	1.5	-2	tblastx:e1e1
1	352	378	4198	4224	66.667	9	21.2	2.0	1	tblastx:e1e1
1	332	294	22422	22460	53.846	13	20.8	2.8	3	tblastx:e1e1
1	109	138	33160	33189	60.0	10	20.8	2.8	1	tblastx:e1e1
1	119	148	44727	44698	50.0	10	20.3	3.8	-3	tblastx:e1e1
1	359	324	3573	3608	58.333	12	20.3	3.8	3	tblastx:e1e1
1	245	138	5043	5150	33.333	36	20.3	3.8	3	tblastx:e1e1
1	265	209	34137	34081	47.368	19	20.3	3.8	-3	tblastx:e1e1
1	438	391	15227	15274	37.5	16	20.3	3.8	2	tblastx:e1e1
