intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	14	11	1,5,6,7,10,14,19,20,24,26,31,37
2	3977	4673	697	3	3	19,23,27
3	4798	7060	2263	14	8	7,10,12,13,15,20,21,23,25,30,35,38
4	7236	7875	640	5	4	1,4,10,20,28
5	7977	8417	441	2	1	16,23
6	8476	10011	1536	9	6	1,14,18,32,38,40,41
7	10074	11224	1151	13	10	1,9,14,15,20,21,26,31,34,36,40,41
8	11255	11407	153	2	2	28,41
9	11478	13134	1657	16	13	4,17,21,23,28,34,36,37,38,39
10	13306	14216	911	12	8	1,4,7,11,18,34,37,42
11	14386	17286	2901	21	19	1,4,7,8,12,14,16,17,19,20,23,24,28,32,37,41
12	17418	17907	490	2	2	38,41
13	18018	18274	257	0	0	-
14	18387	18723	337	2	2	16,23
15	18846	19652	807	3	3	5,16,38
16	19777	22207	2431	14	13	1,5,6,8,14,19,21,26,28,29,33,34,37,41
17	22289	22426	138	1	1	18
18	22537	23059	523	10	8	19,21,23,28,30,33,34,38,41
19	23262	24375	1114	13	10	1,4,9,12,17,23,27,34,40,41
20	24491	25473	983	8	7	1,3,10,25,30,32,33
21	25606	25716	111	0	0	-
22	25798	26228	431	3	3	12,21,23
23	26366	32999	6634	49	44	1,2,4,7,8,9,10,11,13,14,16,17,18,21,22,23,24,26,28,29,31,32,33,36,37,39,40
24	33140	33455	316	5	4	1,10,23,35,41
25	33571	34993	1423	10	8	2,4,8,14,21,23,32,33,41
26	35114	35547	434	3	2	4,10,30
27	35642	35960	319	3	3	8,38,40
28	36026	37115	1090	9	9	1,7,8,13,27,29,32
29	37219	37620	402	5	4	8,17,19,23,31
30	37731	38028	298	2	2	1,19
31	38153	38899	747	7	5	12,16,18,23,27,30,36
32	39011	39239	229	0	0	-
33	39332	40352	1021	8	8	1,5,8,24,29,34
34	40551	41884	1334	11	10	1,15,16,18,34,35,38,40,41
35	42005	43159	1155	15	12	1,2,15,21,24,27,32,38
36	43289	49569	6281	50	42	1,2,3,4,7,8,10,11,12,13,14,15,16,18,20,21,22,24,25,26,27,28,30,31,32,33,34,35,36,38,39,40,41
37	49714	51506	1793	12	10	4,7,9,10,26,28,33,39,40
38	51753	58990	7238	65	53	1,2,4,6,7,8,10,12,14,15,18,19,20,21,22,23,24,25,26,27,30,31,32,33,34,35,36,38,39,41,42
39	59111	64822	5712	50	33	1,3,4,5,6,7,8,10,12,13,15,16,17,19,23,26,27,28,29,30,32,33,34,35,37,38,40,41
40	64943	81535	16593	129	114	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,34,35,36,37,38,39,40,41,42,43
41	81749	93826	12078	112	91	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42
42	93899	113235	19337	154	124	1,2,4,5,6,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
43	113336	114120	785	6	5	1,7,19,43
44	114285	116284	2000	20	16	1,2,5,7,21,23,24,31,32,36,38,42,43
