exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2001	2577	100.0	578	861.0	0.0	blastn,tblastx	2289.5
1	13208	13190	80.952	21	18.9	9.9	blastn,tblastx	13201.5
1	23332	23276	76.667	30	20.7	2.6	blastn,tblastx	23299.5
1	33426	33354	74.51	51	28.1	0.086	blastn,tblastx	33378.0
1	35167	35186	77.778	27	21.4	3.4	blastn,tblastx	35168.0
2	1118	1186	88.889	40	21.4	0.65	blastn,tblastx	1164.5
2	6725	6818	100.0	94	142.0	3.69e-37	blastn,tblastx	6771.5
2	22382	22334	82.609	25	20.7	1.8	blastn,tblastx	22358.0
2	33893	33878	79.167	24	19.9	0.89	blastn,tblastx	33885.5
3	7257	7628	100.0	372	555.0	8.46e-161	blastn,tblastx	7442.5
3	25346	25367	76.923	26	19.2	4.7	blastn,tblastx	25356.25
4	4901	4950	84.211	27	23.5	0.13	blastn,tblastx	4915.0
4	8384	8618	100.0	235	352.0	9.71e-100	blastn,tblastx	8501.0
5	8388	8427	80.0	20	22.6	0.12	blastn,tblastx	8407.5
5	9100	9101	100.0	143	215.0	7.67e-59	blastn,tblastx	9101.0
5	45050	45096	79.167	25	18.9	1.4	blastn,tblastx	45083.0
6	10443	10444	100.0	127	191.0	9.44e-52	blastn,tblastx	10443.0
6	20442	20460	84.211	19	19.9	1.7	blastn,tblastx	20456.0
7	10722	10723	100.0	216	323.0	2.78e-91	blastn,tblastx	10722.5
8	12445	12555	100.0	111	167.0	1.14e-44	blastn,tblastx	12500.0
9	12849	12898	83.333	27	17.7	7.6	blastn,tblastx	12873.25
9	13007	13008	100.0	95	144.0	1.34e-37	blastn,tblastx	13008.0
9	22996	22954	70.588	34	17.7	4.0	blastn,tblastx	22981.5
9	40303	40283	77.778	27	19.2	7.6	blastn,tblastx	40292.5
10	11960	11890	73.077	38	19.4	0.92	blastn,tblastx	11925.0
10	13548	13679	100.0	133	200.0	2.08e-54	blastn,tblastx	13613.0
11	13895	13895	100.0	153	230.0	2.81e-63	blastn,tblastx	13895.0
12	16756	16757	100.0	155	233.0	3.64e-64	blastn,tblastx	16757.0
13	17392	17515	100.0	126	190.0	2.62e-51	blastn,tblastx	17453.5
13	42680	42722	76.0	25	17.7	3.6	blastn,tblastx	42699.5
14	18518	18700	100.0	184	276.0	4.75e-77	blastn,tblastx	18608.5
15	24414	24503	100.0	90	136.0	2.13e-35	blastn,tblastx	24458.5
16	42330	42332	100.0	150	225.0	6.02e-62	blastn,tblastx	42331.5
17	43017	43092	100.0	78	118.0	4e-30	blastn,tblastx	43054.5
17	43635	43597	78.947	20	19.9	0.26	blastn,tblastx	43616.0
18	43328	43330	100.0	114	172.0	5.4e-46	blastn,tblastx	43329.5
