exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	56.1	1.6e-17	phmmer:f0
	-1	-1	0	60.3	1.1e-18	phmmer:f0
	-1	-1	0	138.0	5.4e-42	phmmer:f0
	-1	-1	0	40.8	7.4e-12	phmmer:f0
	-1	-1	0	74.1	1.8e-22	phmmer:f0
	-1	-1	0	36.5	1.4e-10	phmmer:f0
	-1	-1	0	57.0	2e-17	phmmer:f0
	-1	-1	0	26.3	1.8e-07	phmmer:f0
	-1	-1	0	47.1	2.5e-14	phmmer:f0
	-1	-1	0	22.6	1.5e-06	phmmer:f0
	-1	-1	0	56.2	2e-17	phmmer:f0
	-1	-1	0	22.8	7.7e-07	phmmer:f0
	-1	-1	0	39.7	6.1e-12	phmmer:f0
	-1	-1	0	38.7	1.3e-11	phmmer:f0
	-1	-1	0	60.2	2.8e-18	phmmer:f0
	-1	-1	0	29.8	1.7e-08	phmmer:f0
	-1	-1	0	103.1	9.6e-32	phmmer:f0
	-1	-1	0	80.6	5.7e-25	phmmer:f0
	-1	-1	0	69.2	2.5e-21	phmmer:f0
	-1	-1	0	43.8	2.2e-13	phmmer:f0
	-1	-1	0	49.4	2.6e-15	phmmer:f0
	-1	-1	0	44.5	2e-13	phmmer:f0
	-1	-1	0	61.5	1e-18	phmmer:f0
