intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	30	18	1,3,4,5,6,7,8,9,11,12
2	3005	3821	817	11	6	1,3,4,6,9,12
3	3904	5581	1678	26	20	1,2,3,4,5,6,7,8,10,11,12
4	5811	7793	1983	36	25	1,2,3,4,5,6,7,9,11,12
5	7891	10462	2572	39	20	1,2,3,4,5,6,8,9,10,12
6	10599	11226	628	16	9	3,4,5,6,7,8,9,10
7	11373	11838	466	9	6	1,5,6,9,10,11
8	12030	12101	72	0	0	-
9	12235	12761	527	6	4	1,3,7,10,12
10	12901	13121	221	2	2	1
11	13268	14271	1004	11	7	1,4,9,10,11
12	14430	15963	1534	16	14	1,3,5,6,7,8,9,10,11,12
13	18674	20673	2000	27	16	1,3,4,5,6,7,8,9,10,11,12
