metric	value
hits:exon->CDS	6
hits:exon->exon	20
hits:exon->intron	83
copies:exon_to_intron_total	79
copies:exon_01_(2001-3126)	19
copies:exon_02_(9416-15247)	40
copies:exon_03_(17721-19220)	20
intron:total_raw_exon_to_intron_hits	63
intron:total_clustered_copies	55
intron_01_(1-2000):raw_hits	11
intron_01_(1-2000):clustered_copies	9
intron_02_(3127-9415):raw_hits	34
intron_02_(3127-9415):clustered_copies	30
intron_03_(15248-17720):raw_hits	11
intron_03_(15248-17720):clustered_copies	10
intron_04_(19221-21220):raw_hits	7
intron_04_(19221-21220):clustered_copies	6
