exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	689	2001	2689	100.0	689	exon	CDS
1	453	474	6859	6836	87.5	24	exon	intron
1	378	412	213	246	75.676	37	exon	intron
1	453	480	8682	8654	80.0	30	exon	intron
1	453	471	5403	5385	89.474	19	exon	intron
1	298	323	13464	13442	81.481	27	exon	intron
1	425	448	14883	14906	83.333	24	exon	intron
1	456	484	223	248	79.31	29	exon	intron
1	353	381	5861	5891	78.125	32	exon	intron
1	157	204	6783	6726	70.69	58	exon	intron
1	300	346	17039	16999	72.917	48	exon	intron
1	460	489	5403	5379	76.667	30	exon	intron
1	451	467	227	244	88.889	18	exon	intron
1	490	507	2091	2072	85.0	20	exon	intron
1	72	91	2507	2490	85.0	20	exon	intron
1	454	495	4805	4855	69.231	52	exon	intron
1	314	330	13184	13167	88.889	18	exon	intron
1	418	450	147	177	76.471	34	exon	intron
1	387	413	4528	4554	78.571	28	exon	intron
1	98	117	10033	10051	85.0	20	exon	intron
1	89	112	13798	13774	80.0	25	exon	intron
1	447	478	8684	8654	75.0	32	exon	intron
1	578	601	10284	10307	79.167	24	exon	intron
1	354	375	12854	12874	81.818	22	exon	intron
1	451	470	223	244	81.818	22	exon	intron
1	449	469	4477	4501	76.0	25	exon	intron
1	312	342	7919	7949	74.194	31	exon	intron
1	454	492	10839	10884	68.085	47	exon	intron
1	451	468	6853	6836	83.333	18	exon	intron
1	381	402	8848	8827	79.167	24	exon	intron
1	310	327	12010	11993	83.333	18	exon	intron
1	521	542	1425	1407	77.273	22	exon	intron
1	391	412	5669	5651	77.273	22	exon	intron
1	393	410	8682	8666	83.333	18	exon	intron
1	631	650	17057	17038	80.0	20	exon	intron
2	1	136	2959	3094	100.0	136	exon	CDS
2	61	83	563	583	83.333	24	exon	intron
2	34	57	6972	6951	80.0	25	exon	intron
2	36	57	16480	16458	82.609	23	exon	intron
2	10	33	1466	1445	79.167	24	exon	intron
2	72	89	4834	4852	84.211	19	exon	intron
2	79	101	10570	10594	77.778	27	exon	intron
2	53	78	16703	16679	75.0	28	exon	intron
2	108	132	10109	10134	76.923	26	exon	intron
2	33	57	336	362	74.074	27	exon	intron
2	23	61	10021	10059	69.767	43	exon	intron
2	5	40	17194	17161	71.053	38	exon	intron
2	77	100	2059	2036	75.0	24	exon	intron
2	8	25	4486	4470	78.947	19	exon	intron
2	71	101	5801	5765	71.053	38	exon	intron
2	71	91	15079	15056	76.0	25	exon	intron
3	1	64	5048	5111	100.0	64	exon	CDS
3	1	32	9428	9460	76.471	34	exon	intron
3	3	26	4178	4203	77.778	27	exon	intron
3	4	30	4358	4381	77.778	27	exon	intron
3	2	20	16667	16683	78.947	19	exon	intron
3	35	55	4638	4615	75.0	24	exon	intron
3	42	56	14371	14354	77.778	18	exon	intron
4	1	263	15552	15814	100.0	263	exon	CDS
4	78	98	8898	8919	86.364	22	exon	intron
4	200	220	8691	8711	86.364	22	exon	intron
4	59	79	16665	16685	85.714	21	exon	intron
4	194	219	13843	13819	80.769	26	exon	intron
4	142	167	16299	16275	80.769	26	exon	intron
4	135	153	10237	10217	85.714	21	exon	intron
4	19	41	4175	4154	79.167	24	exon	intron
4	75	97	10178	10155	79.167	24	exon	intron
4	157	180	10943	10961	79.167	24	exon	intron
4	59	85	16943	16914	76.667	30	exon	intron
4	48	112	4156	4207	66.154	65	exon	intron
4	154	189	6354	6383	69.444	36	exon	intron
4	149	173	12384	12360	74.074	27	exon	intron
4	58	94	16403	16371	71.053	38	exon	intron
4	77	93	477	495	78.947	19	exon	intron
