exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1450	2	3450	2002	100.0	483	1185.0	0.0	-1	tblastx:e1e1
1	3	1451	2003	3451	100.0	483	1181.0	0.0	2	tblastx:e1e1
1	1452	1	3452	2001	100.0	484	1178.0	0.0	-2	tblastx:e1e1
1	2	1450	2002	3450	100.0	483	1149.0	0.0	1	tblastx:e1e1
1	1	1452	2001	3452	100.0	484	1141.0	0.0	3	tblastx:e1e1
1	1451	3	3451	2003	100.0	483	1114.0	0.0	-3	tblastx:e1e1
1	308	385	2384	2307	50.0	26	32.7	0.002	-2	tblastx:e1e1
1	384	307	2308	2385	50.0	26	32.7	0.002	1	tblastx:e1e1
1	277	393	2415	2299	43.59	39	30.4	0.011	-1	tblastx:e1e1
1	415	299	2277	2393	43.59	39	30.4	0.011	3	tblastx:e1e1
1	300	416	2392	2276	38.462	39	29.9	0.016	-3	tblastx:e1e1
1	392	276	2300	2416	38.462	39	29.9	0.016	2	tblastx:e1e1
1	1021	995	2993	3019	100.0	9	26.3	0.14	2	tblastx:e1e1
1	922	854	21139	21207	39.13	23	23.5	0.14	1	tblastx:e1e1
1	721	641	33967	34047	37.037	27	23.5	0.14	1	tblastx:e1e1
1	234	133	38789	38890	35.294	34	23.5	0.14	2	tblastx:e1e1
1	333	283	36875	36925	41.176	17	21.7	0.14	2	tblastx:e1e1
1	943	917	16296	16322	66.667	9	20.3	0.14	3	tblastx:e1e1
1	993	1019	3021	2995	100.0	9	26.3	0.2	-1	tblastx:e1e1
1	1359	1246	25573	25460	34.211	38	25.8	0.27	-3	tblastx:e1e1
1	309	362	9422	9369	33.333	18	25.4	0.37	-2	tblastx:e1e1
1	309	380	22763	22834	37.5	24	24.9	0.51	2	tblastx:e1e1
1	235	176	43700	43641	45.0	20	23.5	1.3	-2	tblastx:e1e1
1	641	712	34047	33976	41.667	24	22.6	2.5	-1	tblastx:e1e1
1	1362	1403	13995	13954	50.0	14	22.6	2.5	-1	tblastx:e1e1
1	302	231	28281	28352	37.5	24	22.6	2.5	3	tblastx:e1e1
1	669	616	50957	51010	50.0	18	22.6	2.5	2	tblastx:e1e1
1	832	734	49778	49680	36.364	33	22.1	3.5	-2	tblastx:e1e1
1	268	209	33676	33617	45.0	20	22.1	3.5	-3	tblastx:e1e1
1	1009	989	33451	33431	85.714	7	22.1	3.5	-3	tblastx:e1e1
1	472	564	36512	36604	32.258	31	22.1	3.5	2	tblastx:e1e1
1	602	634	38329	38361	54.545	11	22.1	3.5	1	tblastx:e1e1
1	852	926	52975	53049	36.0	25	22.1	3.5	1	tblastx:e1e1
1	369	334	8722	8757	58.333	12	22.1	3.5	1	tblastx:e1e1
1	854	913	49020	48961	40.0	20	21.7	4.7	-1	tblastx:e1e1
