exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	3941	2001	5941	100.0	3941	exon	CDS
1	1	65	1911	1977	94.118	68	exon	intron
1	1	65	1917	1983	94.118	68	exon	intron
1	1	65	1923	1989	94.118	68	exon	intron
1	735	1118	12206	12598	65.45	411	exon	intron
1	3	33	6565	6594	87.097	31	exon	intron
1	9	39	6565	6594	87.097	31	exon	intron
1	15	45	6565	6594	87.097	31	exon	intron
1	33	67	10083	10052	82.857	35	exon	intron
1	33	65	6565	6592	84.848	33	exon	intron
1	2742	2801	6330	6399	69.444	72	exon	intron
1	5	56	356	302	72.727	55	exon	intron
1	39	76	10083	10050	78.947	38	exon	intron
1	2509	2527	8341	8323	94.737	19	exon	intron
1	22	44	11619	11596	87.5	24	exon	intron
1	16	38	11619	11596	87.5	24	exon	intron
1	10	32	11619	11596	87.5	24	exon	intron
1	4	26	11619	11596	87.5	24	exon	intron
1	282	301	1240	1260	90.476	21	exon	intron
1	1629	1656	10256	10279	82.143	28	exon	intron
1	2495	2514	4514	4495	90.0	20	exon	intron
1	2496	2525	8313	8342	80.645	31	exon	intron
1	3756	3801	6903	6857	71.429	49	exon	intron
1	4	39	1183	1220	74.359	39	exon	intron
1	1872	1893	6619	6596	83.333	24	exon	intron
1	2511	2533	11243	11267	84.0	25	exon	exon
1	28	52	11619	11597	84.0	25	exon	intron
1	2053	2100	2074	2126	70.909	55	exon	exon
1	74	126	4053	4100	70.909	55	exon	exon
1	2132	2152	6346	6326	85.714	21	exon	intron
1	247	277	9873	9843	78.125	32	exon	intron
1	2936	2958	10954	10977	84.0	25	exon	exon
1	3	20	11614	11596	89.474	19	exon	intron
1	1799	1826	13299	13269	75.758	33	exon	intron
1	2358	2385	875	900	78.571	28	exon	intron
1	16	41	1183	1207	80.769	26	exon	intron
1	22	47	1183	1207	80.769	26	exon	intron
1	2506	2528	4528	4506	83.333	24	exon	intron
1	3429	3456	5456	5429	78.571	28	exon	intron
1	1362	1379	6971	6988	88.889	18	exon	intron
1	344	369	8757	8784	79.31	29	exon	intron
1	3147	3175	10280	10244	72.973	37	exon	intron
1	1888	1909	10852	10829	83.333	24	exon	intron
1	1286	1306	10999	11018	85.714	21	exon	exon
1	34	53	11619	11599	85.714	21	exon	intron
1	3426	3443	1004	1020	88.889	18	exon	intron
1	3444	3461	2486	2502	88.889	18	exon	exon
1	3870	3887	5194	5178	88.889	18	exon	intron
1	486	502	5444	5461	88.889	18	exon	exon
1	3178	3194	5887	5870	88.889	18	exon	intron
1	3115	3134	6756	6737	85.0	20	exon	intron
1	2602	2619	7155	7139	88.889	18	exon	intron
1	65	87	8075	8096	82.609	23	exon	intron
1	3059	3090	9841	9876	75.0	36	exon	intron
1	2340	2369	10564	10535	76.667	30	exon	intron
1	275	300	11026	11000	78.571	28	exon	intron
1	2516	2541	11476	11502	78.571	28	exon	exon
1	45	64	623	602	81.818	22	exon	intron
1	3509	3535	1553	1575	77.778	27	exon	intron
1	2468	2494	2296	2318	77.778	27	exon	exon
