exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2001	2124	100.0	124	187.0	4.51e-51	blastn,tblastx	2062.5
1	3315	3294	89.474	20	23.6	0.072	blastn,tblastx	3316.0
1	5782	5733	71.053	38	19.9	4.5	blastn,tblastx	5757.25
2	636	654	80.0	20	17.7	1.6	blastn,tblastx	644.25
2	997	950	75.0	24	25.4	0.02	blastn,tblastx	971.0
2	2574	2554	70.909	55	25.4	0.007	blastn,tblastx	2567.0
2	2752	2753	100.0	188	282.0	1.74e-79	blastn,tblastx	2758.0
2	3026	2963	80.769	34	23.6	0.018	blastn,tblastx	2990.0
2	4218	4153	75.0	36	24.0	0.052	blastn,tblastx	4185.25
2	5870	5846	76.667	30	21.2	0.93	blastn,tblastx	5851.0
2	5985	6030	74.194	31	19.9	0.52	blastn,tblastx	6005.0
2	6514	6467	71.875	32	17.7	2.7	blastn,tblastx	6492.5
3	60	4	85.0	31	21.4	2.3	blastn,tblastx	34.0
3	417	377	78.571	28	20.7	1.8	blastn,tblastx	397.0
3	438	422	73.333	30	23.8	0.000796	blastn,tblastx	431.5
3	1014	1059	82.143	28	25.1	0.44	blastn,tblastx	1030.5
3	1243	1266	74.194	31	21.1	0.25	blastn,tblastx	1270.0
3	2474	2412	66.234	77	25.4	0.000259	blastn,tblastx	2449.5
3	3272	3218	82.609	29	25.8	0.005	blastn,tblastx	3246.0
3	3417	3372	74.074	27	20.7	0.044	blastn,tblastx	3385.0
3	3602	3603	100.0	340	508.0	3.42e-147	blastn,tblastx	3603.0
3	3776	3808	67.391	46	22.1	6.92e-06	blastn,tblastx	3783.75
3	4037	4008	80.0	26	19.4	1.3	blastn,tblastx	4022.5
3	5926	5944	79.487	39	28.1	0.01	blastn,tblastx	5931.5
3	6083	6040	72.973	40	19.9	7.7	blastn,tblastx	6078.5
3	6987	7050	73.171	41	22.2	0.23	blastn,tblastx	7019.5
3	7947	7995	76.087	46	26.6	0.011	blastn,tblastx	7976.0
3	8978	8926	83.333	30	18.4	0.55	blastn,tblastx	8952.0
4	3859	3946	100.0	90	136.0	4.84e-36	blastn,tblastx	3902.5
4	5740	5690	76.471	34	22.2	0.028	blastn,tblastx	5710.5
5	540	493	83.333	26	20.0	0.000259	blastn,tblastx	529.5
5	1422	1379	84.0	25	24.4	0.1	blastn,tblastx	1396.0
5	2168	2186	71.154	52	22.9	0.2	blastn,tblastx	2172.0
5	4029	4192	100.0	166	249.0	1.04e-69	blastn,tblastx	4110.5
5	9667	9628	75.0	28	20.3	3.5	blastn,tblastx	9642.0
6	4518	4518	100.0	138	207.0	2.81e-57	blastn,tblastx	4517.5
6	4823	4752	70.492	61	23.6	4.1e-06	blastn,tblastx	4787.5
6	5170	5214	80.0	23	21.2	0.005	blastn,tblastx	5196.0
6	5542	5526	75.0	44	22.9	0.23	blastn,tblastx	5544.0
6	5648	5670	83.333	20	19.9	4.8	blastn,tblastx	5658.75
6	9110	9176	84.0	36	23.6	1.6	blastn,tblastx	9149.0
6	9273	9228	85.714	24	21.4	8.0	blastn,tblastx	9262.0
7	1090	1174	72.131	61	28.1	0.000359	blastn,tblastx	1120.5
7	1430	1478	71.739	46	23.6	0.33	blastn,tblastx	1466.0
7	1684	1742	69.118	68	22.2	0.92	blastn,tblastx	1708.5
7	3143	3177	67.647	68	20.7	0.91	blastn,tblastx	3163.5
7	4376	4319	78.125	32	22.9	0.92	blastn,tblastx	4360.5
7	5112	5114	100.0	477	711.0	0.0	blastn,tblastx	5113.0
7	5422	5440	90.0	20	25.8	0.000359	blastn,tblastx	5429.5
7	6184	6142	76.471	34	22.2	0.91	blastn,tblastx	6162.0
8	786	774	73.214	56	29.6	0.000396	blastn,tblastx	781.75
8	6574	6574	100.0	2210	3286.0	0.0	blastn,tblastx	6574.5
8	7450	7510	82.609	33	21.4	6.6	blastn,tblastx	7472.25
