exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	198	1	2198	2001	100.0	66	166.0	2.36e-45	-1	tblastx:e1e1
1	2	196	2002	2196	100.0	65	166.0	4.45e-45	1	tblastx:e1e1
1	3	197	2003	2197	100.0	65	163.0	2.99e-44	2	tblastx:e1e1
1	1	198	2001	2198	100.0	66	161.0	7.75e-44	3	tblastx:e1e1
1	197	3	2197	2003	100.0	65	160.0	1.46e-43	-2	tblastx:e1e1
1	196	2	2196	2002	100.0	65	158.0	9.84e-43	-3	tblastx:e1e1
1	33	86	8900	8953	44.444	18	22.6	0.066	2	tblastx:e1e1
1	76	35	8522	8481	50.0	14	21.2	0.17	-1	tblastx:e1e1
1	36	62	8808	8782	77.778	9	19.4	0.6	-3	tblastx:e1e1
1	49	8	8304	8345	50.0	14	18.9	0.82	3	tblastx:e1e1
1	102	194	2211	2119	25.806	31	18.5	1.1	-3	tblastx:e1e1
1	62	106	11480	11524	46.667	15	18.5	1.2	2	tblastx:e1e1
1	119	72	7142	7189	37.5	16	18.0	1.6	2	tblastx:e1e1
1	167	138	12274	12303	50.0	10	17.6	2.1	1	tblastx:e1e1
1	104	124	12837	12857	57.143	7	17.6	2.2	3	tblastx:e1e1
1	138	161	14160	14137	50.0	8	17.1	2.9	-3	tblastx:e1e1
1	68	112	6889	6845	33.333	15	17.1	2.9	-2	tblastx:e1e1
1	25	60	436	471	50.0	12	17.1	3.0	1	tblastx:e1e1
1	71	127	2573	2629	31.579	19	17.1	3.0	2	tblastx:e1e1
1	153	130	10976	10953	62.5	8	17.1	3.0	-1	tblastx:e1e1
1	83	109	580	554	55.556	9	16.6	4.0	-2	tblastx:e1e1
1	171	28	8087	7944	25.0	48	16.6	4.1	-1	tblastx:e1e1
1	91	50	3617	3576	42.857	14	16.6	4.1	-1	tblastx:e1e1
1	105	131	12874	12900	77.778	9	16.6	4.1	1	tblastx:e1e1
1	180	160	1232	1212	57.143	7	16.6	4.1	-1	tblastx:e1e1
1	89	106	4465	4448	66.667	6	16.2	5.5	-2	tblastx:e1e1
1	160	137	14138	14161	75.0	8	16.2	5.5	2	tblastx:e1e1
1	54	131	3784	3861	38.462	26	16.2	5.7	1	tblastx:e1e1
1	177	115	6906	6844	23.81	21	16.2	5.7	-3	tblastx:e1e1
1	116	36	5248	5168	25.926	27	16.2	5.7	-2	tblastx:e1e1
1	42	13	3791	3762	50.0	10	15.3	6.2	-1	tblastx:e1e1
1	79	53	3936	3910	44.444	9	14.4	6.2	-3	tblastx:e1e1
1	194	165	1308	1337	50.0	10	15.7	7.6	3	tblastx:e1e1
1	105	146	1379	1420	42.857	14	15.7	7.8	2	tblastx:e1e1
1	35	103	4912	4980	26.087	23	15.7	7.8	1	tblastx:e1e1
1	133	153	9134	9154	42.857	7	15.7	7.8	2	tblastx:e1e1
2	2	103	5202	5303	100.0	34	95.9	1.93e-24	3	tblastx:e1e1
2	1	102	5201	5302	100.0	34	88.6	3.1e-22	2	tblastx:e1e1
2	102	1	5302	5201	100.0	34	88.1	4.26e-22	-2	tblastx:e1e1
2	104	3	5304	5203	100.0	34	87.7	5.86e-22	-3	tblastx:e1e1
2	3	104	5203	5304	100.0	34	85.4	2.87e-21	1	tblastx:e1e1
2	103	2	5303	5202	100.0	34	83.2	1.32e-20	-1	tblastx:e1e1
2	6	32	5072	5098	66.667	9	19.9	0.15	2	tblastx:e1e1
2	3	32	2651	2680	60.0	10	19.4	0.21	2	tblastx:e1e1
2	42	10	13366	13398	54.545	11	18.5	0.39	1	tblastx:e1e1
2	23	82	3135	3194	40.0	20	17.6	0.74	3	tblastx:e1e1
2	21	59	10508	10470	46.154	13	17.1	1.0	-1	tblastx:e1e1
2	54	80	8808	8782	66.667	9	17.1	1.0	-3	tblastx:e1e1
2	76	93	5408	5391	83.333	6	16.2	1.0	-1	tblastx:e1e1
2	104	72	2798	2766	45.455	11	16.6	1.4	-1	tblastx:e1e1
2	75	98	9950	9927	50.0	8	16.2	1.9	-1	tblastx:e1e1
2	50	70	2457	2437	71.429	7	16.2	1.9	-3	tblastx:e1e1
2	20	58	7308	7346	46.154	13	15.7	2.7	3	tblastx:e1e1
2	62	85	10060	10037	62.5	8	15.3	3.6	-2	tblastx:e1e1
2	92	66	5392	5418	44.444	9	15.3	3.6	1	tblastx:e1e1
2	46	63	9091	9108	66.667	6	15.3	3.6	1	tblastx:e1e1
2	24	47	11676	11699	50.0	8	15.3	3.6	3	tblastx:e1e1
2	68	91	8657	8634	62.5	8	14.8	5.0	-1	tblastx:e1e1
2	34	11	3760	3737	50.0	8	14.8	5.0	-2	tblastx:e1e1
2	39	1	5600	5562	46.154	13	14.4	6.9	-1	tblastx:e1e1
2	19	57	13193	13155	46.154	13	13.9	9.4	-1	tblastx:e1e1
2	66	22	6632	6676	26.667	15	13.9	9.4	2	tblastx:e1e1
2	39	22	3271	3254	83.333	6	13.9	9.4	-2	tblastx:e1e1
3	2	73	6120	6191	100.0	24	65.7	1.31e-15	3	tblastx:e1e1
3	72	1	6190	6119	100.0	24	63.8	4.65e-15	-2	tblastx:e1e1
3	3	71	6121	6189	100.0	23	58.3	2.1e-13	1	tblastx:e1e1
3	73	2	6191	6120	100.0	24	57.9	2.89e-13	-1	tblastx:e1e1
3	1	72	6119	6190	100.0	24	56.5	7.49e-13	2	tblastx:e1e1
3	71	3	6189	6121	100.0	23	55.4	1.59e-12	-3	tblastx:e1e1
3	32	58	9253	9279	55.556	9	18.0	0.29	1	tblastx:e1e1
3	68	48	5316	5296	71.429	7	16.2	1.0	-3	tblastx:e1e1
3	37	57	6900	6920	71.429	7	15.3	1.9	3	tblastx:e1e1
3	3	32	10745	10774	40.0	10	14.4	3.7	2	tblastx:e1e1
4	83	3	7502	7422	100.0	27	70.9	4.04e-17	-1	tblastx:e1e1
4	2	82	7421	7501	100.0	27	69.8	8.42e-17	2	tblastx:e1e1
4	3	83	7422	7502	100.0	27	68.4	2.18e-16	3	tblastx:e1e1
