exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	463	2001	2463	100.0	463	exon	CDS
1	376	410	7606	7570	76.923	39	exon	intron
1	130	163	1892	1860	75.676	37	exon	intron
1	333	353	2223	2243	86.364	22	exon	exon
1	223	243	2333	2353	86.364	22	exon	exon
1	128	154	7100	7078	77.778	27	exon	intron
1	14	48	7378	7421	70.455	44	exon	intron
1	385	425	1888	1923	70.732	41	exon	intron
1	394	411	3781	3799	84.211	19	exon	intron
1	183	212	4672	4701	75.0	32	exon	intron
1	382	406	5982	5958	77.778	27	exon	intron
1	153	180	6445	6467	75.0	28	exon	intron
1	132	169	2570	2527	70.455	44	exon	intron
1	182	212	4351	4381	72.727	33	exon	intron
1	25	45	6120	6139	80.952	21	exon	intron
1	183	200	7727	7744	83.333	18	exon	intron
1	130	147	7941	7958	83.333	18	exon	intron
1	368	401	2224	2251	71.429	35	exon	exon
1	224	251	2368	2401	71.429	35	exon	exon
1	179	201	4325	4346	78.261	23	exon	intron
1	24	43	3091	3109	80.0	20	exon	intron
1	381	400	6876	6897	77.273	22	exon	intron
1	222	240	1590	1608	78.947	19	exon	intron
2	1	133	2546	2678	100.0	133	exon	CDS
2	11	31	1019	1039	86.364	22	exon	intron
2	7	29	845	867	80.0	25	exon	intron
2	55	75	6062	6040	79.167	24	exon	intron
2	43	98	3448	3405	67.857	56	exon	intron
2	83	121	5148	5113	72.5	40	exon	intron
2	101	127	4121	4092	73.333	30	exon	intron
2	84	112	7304	7326	75.862	29	exon	intron
2	95	116	3621	3595	74.074	27	exon	intron
2	21	38	3962	3946	83.333	18	exon	intron
2	95	127	4539	4570	74.286	35	exon	intron
2	87	125	4698	4732	70.732	41	exon	intron
2	86	116	4738	4767	72.727	33	exon	intron
2	2	48	7035	7083	69.811	53	exon	intron
2	34	52	3160	3138	78.261	23	exon	intron
2	57	90	3891	3920	74.286	35	exon	CDS
2	58	77	6547	6563	80.0	20	exon	intron
2	89	125	7210	7246	69.048	42	exon	intron
2	68	95	3982	4012	71.875	32	exon	CDS
2	101	125	4106	4083	74.074	27	exon	intron
2	106	127	6585	6564	75.0	24	exon	intron
2	86	132	6885	6839	66.038	53	exon	intron
2	49	68	7766	7782	76.19	21	exon	intron
2	112	128	259	240	80.0	20	exon	intron
2	23	51	3412	3432	68.966	29	exon	intron
2	55	73	4319	4304	78.947	19	exon	intron
2	87	118	4608	4640	71.429	35	exon	intron
2	22	44	5722	5750	70.0	30	exon	intron
2	51	92	7358	7325	69.048	42	exon	intron
2	31	74	1898	1854	68.75	48	exon	intron
2	71	117	3120	3164	68.0	50	exon	intron
2	2	21	4401	4417	75.0	20	exon	intron
2	6	26	6316	6297	76.19	21	exon	intron
2	61	77	6918	6900	78.947	19	exon	intron
2	44	64	2025	2047	72.0	25	exon	exon
2	93	125	3221	3190	70.588	34	exon	intron
2	46	62	3797	3780	77.778	18	exon	intron
2	84	107	5116	5095	72.0	25	exon	intron
2	86	109	6010	6035	73.077	26	exon	intron
3	1	174	3904	4077	100.0	174	exon	CDS
3	81	115	4237	4201	78.378	37	exon	intron
3	43	62	7845	7826	85.0	20	exon	intron
3	152	173	308	287	82.609	23	exon	intron
3	7	37	4741	4768	77.419	31	exon	intron
3	10	33	225	202	80.0	25	exon	intron
3	10	37	1655	1626	77.419	31	exon	intron
3	86	108	7042	7022	79.167	24	exon	intron
3	86	122	3420	3452	73.684	38	exon	intron
3	108	130	5580	5557	79.167	24	exon	intron
3	104	138	1833	1874	71.429	42	exon	intron
3	114	157	4922	4968	68.627	51	exon	CDS
3	97	133	5270	5310	69.767	43	exon	intron
3	43	59	2583	2566	83.333	18	exon	intron
3	116	134	2996	2982	78.947	19	exon	intron
3	56	71	3362	3380	84.211	19	exon	intron
3	87	106	4009	3990	81.818	22	exon	intron
3	106	159	6766	6813	67.273	55	exon	intron
3	25	55	2953	2981	71.875	32	exon	intron
3	10	29	3191	3173	80.0	20	exon	intron
