metric	value
hits:exon->CDS	6
hits:exon->exon	27
hits:exon->intron	158
copies:exon_to_intron_total	99
copies:exon_01_(2001-5941)	46
copies:exon_02_(6701-6770)	8
copies:exon_03_(9247-9314)	8
copies:exon_04_(10552-11635)	37
intron:total_raw_exon_to_intron_hits	115
intron:total_clustered_copies	57
intron_01_(1-2000):raw_hits	38
intron_01_(1-2000):clustered_copies	15
intron_02_(5942-6700):raw_hits	20
intron_02_(5942-6700):clustered_copies	7
intron_03_(6771-9246):raw_hits	22
intron_03_(6771-9246):clustered_copies	16
intron_04_(9315-10551):raw_hits	24
intron_04_(9315-10551):clustered_copies	10
intron_05_(11636-13635):raw_hits	11
intron_05_(11636-13635):clustered_copies	9
