exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	137	2001	2137	100.0	137	exon	CDS
1	27	136	1739	1623	68.333	120	exon	intron
1	5	133	1440	1294	65.385	156	exon	intron
1	3	54	2118	2168	76.364	55	exon	CDS
1	7	62	1903	1964	71.212	66	exon	intron
1	9	46	2158	2196	78.049	41	exon	intron
1	5	38	1855	1827	77.143	35	exon	intron
1	96	118	31131	31154	83.333	24	exon	intron
1	53	94	1982	1938	72.917	48	exon	intron
1	35	54	37904	37924	85.714	21	exon	intron
1	29	54	1881	1904	80.769	26	exon	intron
1	117	137	2350	2329	82.609	23	exon	intron
1	3	137	2134	2008	63.758	149	exon	intron
1	32	52	17201	17181	80.952	21	exon	intron
1	34	128	2089	2000	65.049	103	exon	intron
1	119	136	2325	2308	83.333	18	exon	intron
1	44	61	30523	30540	83.333	18	exon	intron
1	94	113	1585	1568	80.0	20	exon	intron
2	1	82	9999	10080	100.0	82	exon	CDS
2	36	70	58248	58208	75.61	41	exon	intron
2	38	55	61903	61920	88.889	18	exon	intron
2	44	75	22244	22213	74.286	35	exon	intron
2	34	53	61018	60999	85.0	20	exon	intron
2	34	81	69915	69869	71.429	49	exon	intron
2	46	69	37278	37255	80.0	25	exon	intron
2	31	60	43493	43522	72.727	33	exon	intron
2	55	74	58603	58586	85.0	20	exon	intron
2	34	59	80892	80916	77.778	27	exon	exon
2	58	78	11569	11549	80.952	21	exon	intron
2	61	78	17504	17522	84.211	19	exon	intron
2	42	70	50936	50913	75.862	29	exon	intron
2	48	72	76798	76774	77.778	27	exon	intron
2	61	78	79402	79384	84.211	19	exon	intron
2	19	37	61122	61141	80.952	21	exon	intron
2	34	54	63230	63210	78.261	23	exon	intron
2	34	68	80895	80864	72.222	36	exon	intron
2	26	45	342	323	80.0	20	exon	intron
2	52	72	47440	47416	76.0	25	exon	intron
2	31	47	60819	60802	83.333	18	exon	intron
2	14	32	47744	47763	80.0	20	exon	CDS
3	1	260	19752	20011	100.0	260	exon	CDS
