exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	137	2003	2137	100.0	45	125.0	1.68e-32	2	tblastx:e1e1
1	137	3	2137	2003	100.0	45	114.0	3.27e-29	-3	tblastx:e1e1
1	136	2	2136	2002	100.0	45	114.0	3.88e-29	-1	tblastx:e1e1
1	1	135	2001	2135	100.0	45	114.0	4.72e-29	3	tblastx:e1e1
1	135	1	2135	2001	100.0	45	102.0	1.86e-25	-2	tblastx:e1e1
1	2	136	2002	2136	100.0	45	101.0	3.44e-25	1	tblastx:e1e1
1	127	8	2327	2208	35.0	40	29.7	0.001	-2	tblastx:e1e1
1	105	46	1254	1313	50.0	20	25.3	0.027	3	tblastx:e1e1
1	108	13	2400	2305	40.625	32	23.5	0.032	-1	tblastx:e1e1
1	31	8	2180	2157	62.5	8	17.6	0.032	-2	tblastx:e1e1
1	1	123	2297	2419	36.585	41	24.9	0.037	2	tblastx:e1e1
1	134	87	2328	2281	43.75	16	21.7	0.055	-1	tblastx:e1e1
1	59	9	2180	2130	41.176	17	18.5	0.055	-2	tblastx:e1e1
1	136	47	68103	68014	33.333	30	23.4	0.098	-1	tblastx:e1e1
1	55	108	4074	4127	50.0	18	22.6	0.18	3	tblastx:e1e1
1	31	102	2226	2297	45.833	24	22.1	0.25	3	tblastx:e1e1
1	14	121	2306	2413	41.667	36	22.1	0.25	2	tblastx:e1e1
1	84	113	65850	65879	60.0	10	22.1	0.25	3	tblastx:e1e1
1	110	18	1526	1618	32.258	31	20.3	0.32	2	tblastx:e1e1
1	31	2	1713	1742	60.0	10	16.7	0.32	3	tblastx:e1e1
1	107	51	2054	2110	42.105	19	21.7	0.33	2	tblastx:e1e1
1	28	84	82124	82068	42.105	19	21.7	0.34	-2	tblastx:e1e1
1	26	94	22402	22470	43.478	23	21.7	0.34	1	tblastx:e1e1
1	54	110	2107	2051	42.105	19	21.7	0.34	-3	tblastx:e1e1
1	40	5	82481	82446	58.333	12	21.2	0.46	-2	tblastx:e1e1
1	3	35	31548	31580	72.727	11	21.2	0.47	3	tblastx:e1e1
1	75	101	32580	32606	77.778	9	21.2	0.47	3	tblastx:e1e1
1	137	60	2184	2107	38.462	26	20.8	0.62	-1	tblastx:e1e1
1	58	8	36466	36416	35.294	17	20.3	0.85	-3	tblastx:e1e1
1	37	8	22445	22416	70.0	10	20.3	0.85	-2	tblastx:e1e1
1	39	1	53096	53058	53.846	13	20.3	0.86	-2	tblastx:e1e1
1	78	110	82664	82632	54.545	11	20.3	0.89	-2	tblastx:e1e1
1	34	72	13353	13315	53.846	13	20.3	0.89	-1	tblastx:e1e1
1	27	56	13038	13009	70.0	10	20.3	0.89	-1	tblastx:e1e1
1	2	70	1921	1853	43.478	23	20.3	0.89	-3	tblastx:e1e1
1	10	57	82662	82709	37.5	16	20.3	0.89	3	tblastx:e1e1
1	72	37	2792	2757	58.333	12	18.0	1.1	-2	tblastx:e1e1
1	134	99	2846	2811	50.0	12	16.6	1.1	-2	tblastx:e1e1
1	115	59	23829	23885	42.105	19	19.9	1.2	3	tblastx:e1e1
1	73	5	1503	1435	39.13	23	19.9	1.2	-1	tblastx:e1e1
1	81	131	3031	3081	47.059	17	19.9	1.2	1	tblastx:e1e1
1	70	23	82220	82173	50.0	16	19.4	1.6	-2	tblastx:e1e1
1	43	5	3076	3114	61.538	13	19.4	1.6	1	tblastx:e1e1
1	105	40	82044	81979	45.455	22	19.4	1.6	-1	tblastx:e1e1
1	102	55	76751	76704	31.25	16	19.4	1.6	-2	tblastx:e1e1
1	72	4	1932	1864	43.478	23	19.4	1.6	-1	tblastx:e1e1
1	134	33	78268	78369	26.471	34	17.6	1.7	1	tblastx:e1e1
1	31	14	78393	78410	83.333	6	16.3	1.7	3	tblastx:e1e1
1	76	123	14237	14284	56.25	16	19.4	1.7	2	tblastx:e1e1
1	48	71	30527	30550	62.5	8	19.4	1.7	2	tblastx:e1e1
1	49	105	61044	61100	42.105	19	19.4	1.7	3	tblastx:e1e1
1	40	2	40260	40222	53.846	13	19.0	2.2	-1	tblastx:e1e1
1	50	6	15316	15272	53.333	15	18.9	2.2	-3	tblastx:e1e1
1	60	89	81460	81431	60.0	10	18.9	2.3	-3	tblastx:e1e1
1	23	40	3600	3617	100.0	6	18.9	2.3	3	tblastx:e1e1
1	51	71	78082	78062	71.429	7	18.9	2.3	-3	tblastx:e1e1
1	78	113	6580	6615	41.667	12	18.9	2.3	1	tblastx:e1e1
1	58	81	8127	8150	87.5	8	18.9	2.3	3	tblastx:e1e1
1	108	134	77607	77633	66.667	9	18.9	2.3	3	tblastx:e1e1
1	100	135	82633	82668	58.333	12	18.9	2.3	1	tblastx:e1e1
1	40	8	1574	1606	54.545	11	18.5	2.9	2	tblastx:e1e1
